app,module_id,sub_app,question_id,source_question_id,level,response_type,max_marks,prompt,correct_answer,answer_choices,accepted_answers,audio_path,audio_exists,question_asset,answer_asset,score_asset,instrument,family,clip_type,difficulty,composer,work,movement,performer,source,rights,notes
Melody Master,melody-master,Melodic Dictation,MM006-F,MM006,Foundation,drag-and-drop dictation,3,Complete the 3 missing notes.,G5 | F5 | E5,quaver | quaver | quaver,G5 | F5 | E5,modules/melody-master/questions/mm006/MM006-audio.mp3,yes,modules/melody-master/questions/mm006/MM006-F-question.png,modules/melody-master/questions/mm006/mm006-answer.png,modules/melody-master/questions/mm006/MM006-F-question.png,,,dictation,easy,Chopin,"Nocturne in B flat minor, Op. 9 no. 1",Extract 6,,Musopen,PDM 1.0,"Lead-in interval from slot 1 to slot 2 is included in the Foundation interval rule. Missing slots: 2|3|4 Visible reference slots: 1|5|6 Max missing interval: step Question 6 uses six missing notes. Pitch sequence provided by user: F5, G5, F5, E5, C5, D5. Rhythms are crotchet, four quavers, and minim."
Melody Master,melody-master,Melodic Dictation,MM006-D,MM006,Developing,drag-and-drop dictation,5,Complete the 5 missing notes.,G5 | F5 | E5 | C5 | D5,quaver | quaver | quaver | quaver | minim,G5 | F5 | E5 | C5 | D5,modules/melody-master/questions/mm006/MM006-audio.mp3,yes,modules/melody-master/questions/mm006/MM006-D-question.png,modules/melody-master/questions/mm006/mm006-answer.png,modules/melody-master/questions/mm006/MM006-D-question.png,,,dictation,easy,Chopin,"Nocturne in B flat minor, Op. 9 no. 1",Extract 6,,Musopen,PDM 1.0,"Lead-in interval from slot 1 to slot 2 is included in the Developing interval rule. Missing slots: 2|3|4|5|6 Visible reference slots: 1 Max missing interval: third Question 6 uses six missing notes. Pitch sequence provided by user: F5, G5, F5, E5, C5, D5. Rhythms are crotchet, four quavers, and minim."
Melody Master,melody-master,Melodic Dictation,MM006-S,MM006,Securing,drag-and-drop dictation,5,Complete the 5 missing notes.,G5 | F5 | E5 | C5 | D5,quaver | quaver | quaver | quaver | minim,G5 | F5 | E5 | C5 | D5,modules/melody-master/questions/mm006/MM006-audio.mp3,yes,modules/melody-master/questions/mm006/MM006-S-question.png,modules/melody-master/questions/mm006/mm006-answer.png,modules/melody-master/questions/mm006/MM006-S-question.png,,,dictation,easy,Chopin,"Nocturne in B flat minor, Op. 9 no. 1",Extract 6,,Musopen,PDM 1.0,"Lead-in interval from slot 1 to slot 2 is included in the Securing interval rule. Missing slots: 2|3|4|5|6 Visible reference slots: 1 Max missing interval: third Question 6 uses six missing notes. Pitch sequence provided by user: F5, G5, F5, E5, C5, D5. Rhythms are crotchet, four quavers, and minim."
Melody Master,melody-master,Melodic Dictation,MM006-M,MM006,Mastering,drag-and-drop dictation,6,Complete the 6 missing notes.,F5 | G5 | F5 | E5 | C5 | D5,crotchet | quaver | quaver | quaver | quaver | minim,F5 | G5 | F5 | E5 | C5 | D5,modules/melody-master/questions/mm006/MM006-audio.mp3,yes,modules/melody-master/questions/mm006/mm006-question.png,modules/melody-master/questions/mm006/mm006-answer.png,modules/melody-master/questions/mm006/mm006-question.png,,,dictation,easy,Chopin,"Nocturne in B flat minor, Op. 9 no. 1",Extract 6,,Musopen,PDM 1.0,"Existing full-question Mastering artwork reused. Missing slots: 1|2|3|4|5|6 Visible reference slots:  Max missing interval: third Question 6 uses six missing notes. Pitch sequence provided by user: F5, G5, F5, E5, C5, D5. Rhythms are crotchet, four quavers, and minim."
Melody Master,melody-master,Melodic Dictation,MM007-F,MM007,Foundation,drag-and-drop dictation,3,Complete the 3 missing notes.,F5 | E5 | D5,semiquaver | semiquaver | quaver,F5 | E5 | D5,modules/melody-master/questions/mm007/MM007-audio.mp3,yes,modules/melody-master/questions/mm007/MM007-F-question.png,modules/melody-master/questions/mm007/mm007-answer.png,modules/melody-master/questions/mm007/MM007-F-question.png,,,dictation,medium,Clementi,Sonatina No. 1 in C major,III. Vivace,,Musopen,PDM 1.0,"Lead-in interval from slot 1 to slot 2 is included in the Foundation interval rule. Missing slots: 2|3|4 Visible reference slots: 1|5|6 Max missing interval: step Question 7 uses six missing notes. Pitch sequence provided by user: G5, F5, E5, D5, F5, B4. Rhythms are crotchet, semiquaver, semiquaver, quaver, quaver, quaver."
Melody Master,melody-master,Melodic Dictation,MM007-D,MM007,Developing,drag-and-drop dictation,4,Complete the 4 missing notes.,F5 | E5 | D5 | F5,semiquaver | semiquaver | quaver | quaver,F5 | E5 | D5 | F5,modules/melody-master/questions/mm007/MM007-audio.mp3,yes,modules/melody-master/questions/mm007/MM007-D-question.png,modules/melody-master/questions/mm007/mm007-answer.png,modules/melody-master/questions/mm007/MM007-D-question.png,,,dictation,medium,Clementi,Sonatina No. 1 in C major,III. Vivace,,Musopen,PDM 1.0,"Lead-in interval from slot 1 to slot 2 is included in the Developing interval rule. Missing slots: 2|3|4|5 Visible reference slots: 1|6 Max missing interval: third Question 7 uses six missing notes. Pitch sequence provided by user: G5, F5, E5, D5, F5, B4. Rhythms are crotchet, semiquaver, semiquaver, quaver, quaver, quaver."
Melody Master,melody-master,Melodic Dictation,MM007-S,MM007,Securing,drag-and-drop dictation,4,Complete the 4 missing notes.,F5 | E5 | D5 | F5,semiquaver | semiquaver | quaver | quaver,F5 | E5 | D5 | F5,modules/melody-master/questions/mm007/MM007-audio.mp3,yes,modules/melody-master/questions/mm007/MM007-S-question.png,modules/melody-master/questions/mm007/mm007-answer.png,modules/melody-master/questions/mm007/MM007-S-question.png,,,dictation,medium,Clementi,Sonatina No. 1 in C major,III. Vivace,,Musopen,PDM 1.0,"Lead-in interval from slot 1 to slot 2 is included in the Securing interval rule. Missing slots: 2|3|4|5 Visible reference slots: 1|6 Max missing interval: third Question 7 uses six missing notes. Pitch sequence provided by user: G5, F5, E5, D5, F5, B4. Rhythms are crotchet, semiquaver, semiquaver, quaver, quaver, quaver."
Melody Master,melody-master,Melodic Dictation,MM007-M,MM007,Mastering,drag-and-drop dictation,6,Complete the 6 missing notes.,G5 | F5 | E5 | D5 | F5 | B4,crotchet | semiquaver | semiquaver | quaver | quaver | quaver,G5 | F5 | E5 | D5 | F5 | B4,modules/melody-master/questions/mm007/MM007-audio.mp3,yes,modules/melody-master/questions/mm007/mm007-question.png,modules/melody-master/questions/mm007/mm007-answer.png,modules/melody-master/questions/mm007/mm007-question.png,,,dictation,medium,Clementi,Sonatina No. 1 in C major,III. Vivace,,Musopen,PDM 1.0,"Existing full-question Mastering artwork reused. Missing slots: 1|2|3|4|5|6 Visible reference slots:  Max missing interval: fifth Question 7 uses six missing notes. Pitch sequence provided by user: G5, F5, E5, D5, F5, B4. Rhythms are crotchet, semiquaver, semiquaver, quaver, quaver, quaver."
Melody Master,melody-master,Melodic Dictation,MM009-D,MM009,Developing,drag-and-drop dictation,5,Complete the 5 missing notes.,D5 | C5 | B4 | A4 | B4,demisemiquaver | demisemiquaver | demisemiquaver | demisemiquaver | semiquaver,D5 | C5 | B4 | A4 | B4,modules/melody-master/questions/mm009/MM009-audio.mp3,yes,modules/melody-master/questions/mm009/MM009-D-question.png,modules/melody-master/questions/mm009/mm009-answer.png,modules/melody-master/questions/mm009/MM009-D-question.png,,,dictation,easy,Haydn,"Cello Concerto no. 1 in C major, Hob. VIIb:1",I. Moderato,,Musopen,CC BY 3.0,"Lead-in interval from slot 1 to slot 2 is included in the Developing interval rule. Missing slots: 2|3|4|5|6 Visible reference slots: 1 Max missing interval: step Question 9 uses six missing notes. Pitch sequence provided by user: C5, D5, C5, B4, A4, B4. Rhythms are semiquaver, four demisemiquavers, semiquaver. A placeholder demisemiquaver-sibelius.png asset has been added and can be replaced later."
Melody Master,melody-master,Melodic Dictation,MM009-S,MM009,Securing,drag-and-drop dictation,5,Complete the 5 missing notes.,D5 | C5 | B4 | A4 | B4,demisemiquaver | demisemiquaver | demisemiquaver | demisemiquaver | semiquaver,D5 | C5 | B4 | A4 | B4,modules/melody-master/questions/mm009/MM009-audio.mp3,yes,modules/melody-master/questions/mm009/MM009-S-question.png,modules/melody-master/questions/mm009/mm009-answer.png,modules/melody-master/questions/mm009/MM009-S-question.png,,,dictation,easy,Haydn,"Cello Concerto no. 1 in C major, Hob. VIIb:1",I. Moderato,,Musopen,CC BY 3.0,"Lead-in interval from slot 1 to slot 2 is included in the Securing interval rule. Missing slots: 2|3|4|5|6 Visible reference slots: 1 Max missing interval: step Question 9 uses six missing notes. Pitch sequence provided by user: C5, D5, C5, B4, A4, B4. Rhythms are semiquaver, four demisemiquavers, semiquaver. A placeholder demisemiquaver-sibelius.png asset has been added and can be replaced later."
Melody Master,melody-master,Melodic Dictation,MM009-M,MM009,Mastering,drag-and-drop dictation,6,Complete the 6 missing notes.,C5 | D5 | C5 | B4 | A4 | B4,semiquaver | demisemiquaver | demisemiquaver | demisemiquaver | demisemiquaver | semiquaver,C5 | D5 | C5 | B4 | A4 | B4,modules/melody-master/questions/mm009/MM009-audio.mp3,yes,modules/melody-master/questions/mm009/mm009-question.png,modules/melody-master/questions/mm009/mm009-answer.png,modules/melody-master/questions/mm009/mm009-question.png,,,dictation,easy,Haydn,"Cello Concerto no. 1 in C major, Hob. VIIb:1",I. Moderato,,Musopen,CC BY 3.0,"Existing full-question Mastering artwork reused. Missing slots: 1|2|3|4|5|6 Visible reference slots:  Max missing interval: step Question 9 uses six missing notes. Pitch sequence provided by user: C5, D5, C5, B4, A4, B4. Rhythms are semiquaver, four demisemiquavers, semiquaver. A placeholder demisemiquaver-sibelius.png asset has been added and can be replaced later."
Melody Master,melody-master,Melodic Dictation,MM010-S,MM010,Securing,drag-and-drop dictation,5,Complete the 5 missing notes.,C5 | B4 | C5 | E5 | F5,semiquaver | semiquaver | semiquaver | quaver | semiquaver,C5 | B4 | C5 | E5 | F5,modules/melody-master/questions/mm010/MM010-audio.mp3,yes,modules/melody-master/questions/mm010/MM010-S-question.png,modules/melody-master/questions/mm010/mm010-answer.png,modules/melody-master/questions/mm010/MM010-S-question.png,,,dictation,easy,Mozart,"Piano Sonata no. 11 in A major, K. 331",III. Alla Turca,,Musopen,PDM 1.0,"Lead-in interval from slot 1 to slot 2 is included in the Securing interval rule. Missing slots: 2|3|4|5|6 Visible reference slots: 1 Max missing interval: third Question 10 uses six missing notes. Pitch sequence provided by user: D5, C5, B4, C5, E5, F5. Rhythms are 4 semiquavers, 1 quaver, then 1 semiquaver."
Melody Master,melody-master,Melodic Dictation,MM010-M,MM010,Mastering,drag-and-drop dictation,6,Complete the 6 missing notes.,D5 | C5 | B4 | C5 | E5 | F5,semiquaver | semiquaver | semiquaver | semiquaver | quaver | semiquaver,D5 | C5 | B4 | C5 | E5 | F5,modules/melody-master/questions/mm010/MM010-audio.mp3,yes,modules/melody-master/questions/mm010/mm010-question.png,modules/melody-master/questions/mm010/mm010-answer.png,modules/melody-master/questions/mm010/mm010-question.png,,,dictation,easy,Mozart,"Piano Sonata no. 11 in A major, K. 331",III. Alla Turca,,Musopen,PDM 1.0,"Existing full-question Mastering artwork reused. Missing slots: 1|2|3|4|5|6 Visible reference slots:  Max missing interval: third Question 10 uses six missing notes. Pitch sequence provided by user: D5, C5, B4, C5, E5, F5. Rhythms are 4 semiquavers, 1 quaver, then 1 semiquaver."
Melody Master,melody-master,Melodic Dictation,MM011-F,MM011,Foundation,drag-and-drop dictation,3,Complete the 3 missing notes.,A5 | A5 | B5,crotchet | quaver | quaver,A5 | A5 | B5,modules/melody-master/questions/mm011/MM011-audio.mp3,yes,modules/melody-master/questions/mm011/MM011-F-question.png,modules/melody-master/questions/mm011/mm011-answer.png,modules/melody-master/questions/mm011/MM011-F-question.png,,,dictation,easy,Mozart,"Piano Concerto no. 17 in G major, K. 453",III. Allegretto,,Musopen,PDM 1.0,"Lead-in interval from slot 1 to slot 2 is included in the Foundation interval rule. Missing slots: 2|3|4 Visible reference slots: 1|5|6 Max missing interval: step Question 11 uses six main draggable notes. Pitch sequence provided by user: A5, A5, A5, B5, C6, A5. Rhythms are crotchet, crotchet, quaver, quaver, quaver, quaver. X positions were taken from the visual centres of the six main missing noteheads in the answer PNG. The small printed grace/ornamental note visible in the answer image is preserved in the reveal image but is not treated as a draggable dictation slot."
Melody Master,melody-master,Melodic Dictation,MM011-D,MM011,Developing,drag-and-drop dictation,5,Complete the 5 missing notes.,A5 | A5 | B5 | C6 | A5,crotchet | quaver | quaver | quaver | quaver,A5 | A5 | B5 | C6 | A5,modules/melody-master/questions/mm011/MM011-audio.mp3,yes,modules/melody-master/questions/mm011/MM011-D-question.png,modules/melody-master/questions/mm011/mm011-answer.png,modules/melody-master/questions/mm011/MM011-D-question.png,,,dictation,easy,Mozart,"Piano Concerto no. 17 in G major, K. 453",III. Allegretto,,Musopen,PDM 1.0,"Lead-in interval from slot 1 to slot 2 is included in the Developing interval rule. Missing slots: 2|3|4|5|6 Visible reference slots: 1 Max missing interval: third Question 11 uses six main draggable notes. Pitch sequence provided by user: A5, A5, A5, B5, C6, A5. Rhythms are crotchet, crotchet, quaver, quaver, quaver, quaver. X positions were taken from the visual centres of the six main missing noteheads in the answer PNG. The small printed grace/ornamental note visible in the answer image is preserved in the reveal image but is not treated as a draggable dictation slot."
Melody Master,melody-master,Melodic Dictation,MM011-S,MM011,Securing,drag-and-drop dictation,5,Complete the 5 missing notes.,A5 | A5 | B5 | C6 | A5,crotchet | quaver | quaver | quaver | quaver,A5 | A5 | B5 | C6 | A5,modules/melody-master/questions/mm011/MM011-audio.mp3,yes,modules/melody-master/questions/mm011/MM011-S-question.png,modules/melody-master/questions/mm011/mm011-answer.png,modules/melody-master/questions/mm011/MM011-S-question.png,,,dictation,easy,Mozart,"Piano Concerto no. 17 in G major, K. 453",III. Allegretto,,Musopen,PDM 1.0,"Lead-in interval from slot 1 to slot 2 is included in the Securing interval rule. Missing slots: 2|3|4|5|6 Visible reference slots: 1 Max missing interval: third Question 11 uses six main draggable notes. Pitch sequence provided by user: A5, A5, A5, B5, C6, A5. Rhythms are crotchet, crotchet, quaver, quaver, quaver, quaver. X positions were taken from the visual centres of the six main missing noteheads in the answer PNG. The small printed grace/ornamental note visible in the answer image is preserved in the reveal image but is not treated as a draggable dictation slot."
Melody Master,melody-master,Melodic Dictation,MM011-M,MM011,Mastering,drag-and-drop dictation,6,Complete the 6 missing notes.,A5 | A5 | A5 | B5 | C6 | A5,crotchet | crotchet | quaver | quaver | quaver | quaver,A5 | A5 | A5 | B5 | C6 | A5,modules/melody-master/questions/mm011/MM011-audio.mp3,yes,modules/melody-master/questions/mm011/mm011-question.png,modules/melody-master/questions/mm011/mm011-answer.png,modules/melody-master/questions/mm011/mm011-question.png,,,dictation,easy,Mozart,"Piano Concerto no. 17 in G major, K. 453",III. Allegretto,,Musopen,PDM 1.0,"Existing full-question Mastering artwork reused. Missing slots: 1|2|3|4|5|6 Visible reference slots:  Max missing interval: third Question 11 uses six main draggable notes. Pitch sequence provided by user: A5, A5, A5, B5, C6, A5. Rhythms are crotchet, crotchet, quaver, quaver, quaver, quaver. X positions were taken from the visual centres of the six main missing noteheads in the answer PNG. The small printed grace/ornamental note visible in the answer image is preserved in the reveal image but is not treated as a draggable dictation slot."
Melody Master,melody-master,Melodic Dictation,MM012-S,MM012,Securing,drag-and-drop dictation,5,Complete the 5 missing notes.,C5 | F5 | D5 | B4 | C5,quaver | quaver | crotchet | crotchet | crotchet,C5 | F5 | D5 | B4 | C5,modules/melody-master/questions/mm012/MM012-audio.mp3,yes,modules/melody-master/questions/mm012/MM012-S-question.png,modules/melody-master/questions/mm012/mm012-answer.png,modules/melody-master/questions/mm012/MM012-S-question.png,,,dictation,medium,Mussorgsky,Pictures at an Exhibition,Extract 12,,Musopen,CC BY 3.0,"Lead-in interval from slot 1 to slot 2 is included in the Securing interval rule. Missing slots: 2|3|4|5|6 Visible reference slots: 1 Max missing interval: fourth Question 12 uses six draggable notes. Pitch sequence provided by user: D5, C5, F5, D5, B4, C5. Rhythms are crotchet, quaver, quaver, crotchet, crotchet, crotchet. X positions were taken from the visual centres of the six missing noteheads in the answer PNG."
Melody Master,melody-master,Melodic Dictation,MM012-M,MM012,Mastering,drag-and-drop dictation,6,Complete the 6 missing notes.,D5 | C5 | F5 | D5 | B4 | C5,crotchet | quaver | quaver | crotchet | crotchet | crotchet,D5 | C5 | F5 | D5 | B4 | C5,modules/melody-master/questions/mm012/MM012-audio.mp3,yes,modules/melody-master/questions/mm012/mm012-question.png,modules/melody-master/questions/mm012/mm012-answer.png,modules/melody-master/questions/mm012/mm012-question.png,,,dictation,medium,Mussorgsky,Pictures at an Exhibition,Extract 12,,Musopen,CC BY 3.0,"Existing full-question Mastering artwork reused. Missing slots: 1|2|3|4|5|6 Visible reference slots:  Max missing interval: fourth Question 12 uses six draggable notes. Pitch sequence provided by user: D5, C5, F5, D5, B4, C5. Rhythms are crotchet, quaver, quaver, crotchet, crotchet, crotchet. X positions were taken from the visual centres of the six missing noteheads in the answer PNG."
Melody Master,melody-master,Melodic Dictation,MM008-F,MM008,Foundation,drag-and-drop dictation,3,Complete the 3 missing notes.,G5 | F5 | G5,semiquaver | semiquaver | semiquaver,G5 | F5 | G5,modules/melody-master/questions/mm008/MM008-audio.mp3,yes,modules/melody-master/questions/mm008/MM008-F-question.png,modules/melody-master/questions/mm008/mm008-answer.png,modules/melody-master/questions/mm008/MM008-F-question.png,,,dictation,easy,Grieg,"Peer Gynt Suite no. 1, Op. 46",I. Morning Mood,,Musopen,PDM 1.0,"Lead-in interval from slot 1 to slot 2 is included in the Foundation interval rule. Missing slots: 2|3|4 Visible reference slots: 1|5|6 Max missing interval: step Question 8 uses six draggable notes. Pitch sequence provided by user: F5, G5, F5, G5, B5, G5. Rhythms inferred from the answer PNG are four semiquavers followed by two quavers. X positions were taken from the visual centres of the six missing noteheads in the answer PNG."
Melody Master,melody-master,Melodic Dictation,MM008-D,MM008,Developing,drag-and-drop dictation,5,Complete the 5 missing notes.,G5 | F5 | G5 | B5 | G5,semiquaver | semiquaver | semiquaver | quaver | quaver,G5 | F5 | G5 | B5 | G5,modules/melody-master/questions/mm008/MM008-audio.mp3,yes,modules/melody-master/questions/mm008/MM008-D-question.png,modules/melody-master/questions/mm008/mm008-answer.png,modules/melody-master/questions/mm008/MM008-D-question.png,,,dictation,easy,Grieg,"Peer Gynt Suite no. 1, Op. 46",I. Morning Mood,,Musopen,PDM 1.0,"Lead-in interval from slot 1 to slot 2 is included in the Developing interval rule. Missing slots: 2|3|4|5|6 Visible reference slots: 1 Max missing interval: third Question 8 uses six draggable notes. Pitch sequence provided by user: F5, G5, F5, G5, B5, G5. Rhythms inferred from the answer PNG are four semiquavers followed by two quavers. X positions were taken from the visual centres of the six missing noteheads in the answer PNG."
