question_id,clip_id,aos_code,aos_label,source_basis,metadata_confidence,notes
MMX061,TT097,AoS3,Romantic music,composer/era,high,
MMX062,MTR031,AoS5,Music for dance,work title (tango),high,
MMX064,MTR033,AoS1,Baroque music,composer/era,high,
MMX065,MTR034,AoS1,Baroque music,composer/era,high,
MMX066,MTR035,AoS1,Baroque music,composer/era,high,
MMX067,MTR036,AoS1,Baroque music,composer/era,high,
MMX068,MTR037,AoS2,Classical music,composer/era,high,
MMX069,MTR038,AoS1,Baroque music,composer/era,high,
MMX070,MTR039,AoS1,Baroque music,composer/era,high,
MMX071,MTR040,AoS1,Baroque music,composer/era,high,
MMX072,MTR041,AoS1,Baroque music,composer/era,high,
MMX073,MTR042,AoS1,Baroque music,composer/era,high,
MMX074,MTR043,AoS1,Baroque music,composer/era,high,
MMX075,MTR044,AoS1,Baroque music,composer/era,high,
MMX076,MTR045,AoS1,Baroque music,composer/era,high,
MMX077,MTR046,AoS1,Baroque music,composer/era,high,
MMX078,MTR053,AoS2,Classical music,composer/era,high,
MMX079,MTR054,AoS2,Classical music,composer/era,high,
MMX080,MTR055,AoS2,Classical music,composer/era,high,
MMX081,MTR056,AoS3,Romantic music,composer/era,medium,
MMX082,MTR058,AoS3,Romantic music,composer/era,medium,
MMX083,MTR059,AoS2,Classical music,composer/era,high,
MMX084,MTR061,AoS2,Classical music,composer/era,high,
MMX085,MTR063,AoS3,Romantic music,composer/era,medium,
MMX086,MTR064,AoS3,Romantic music,composer/era,high,
MMX087,MTR065,AoS3,Romantic music,composer/era,high,
MMX088,MTR067,AoS3,Romantic music,composer/era,high,
MMX089,MTR068,AoS3,Romantic music,composer/era,high,
MMX090,MTR069,AoS3,Romantic music,composer/era,high,
MMX091,MTR070,AoS3,Romantic music,composer/era,high,
MMX092,MTR071,AoS3,Romantic music,composer/era,high,
MMX093,MTR072,AoS3,Romantic music,composer/era,high,
MMX094,MTR073,AoS3,Romantic music,composer/era,high,
MMX095,MTR074,AoS3,Romantic music,composer/era,high,
MMX096,MTR075,AoS3,Romantic music,composer/era,high,
MMX097,MTR076,AoS3,Romantic music,composer/era,high,
MMX098,MTR077,AoS3,Romantic music,composer/era,high,
MMX099,MTR078,AoS3,Romantic music,composer/era,high,
MMX100,MTR080,AoS3,Romantic music,composer/era,high,
MMX101,MTR081,AoS6,Music for small ensemble,metre_family (world music ensemble),high,
MMX102,MTR082,AoS6,Music for small ensemble,metre_family (world music ensemble),high,
MMX103,MTR083,AoS6,Music for small ensemble,metre_family (world music ensemble),high,
MMX104,MTR084,AoS6,Music for small ensemble,metre_family (world music ensemble),high,
MMX105,MTR085,AoS6,Music for small ensemble,metre_family (world music ensemble),high,
MMX106,MTR086,AoS2,Classical music,composer/era,high,
MMX107,MTR087,AoS2,Classical music,composer/era,high,
MMX108,MTR088,AoS3,Romantic music,composer/era,high,
MMX109,MTR089,AoS3,Romantic music,composer/era,high,
MMX110,MTR090,AoS3,Romantic music,composer/era,medium,
MMX111,MTR091,AoS3,Romantic music,composer/era,high,
MMX112,MTR092,AoS3,Romantic music,composer/era,high,
MMX113,MTR093,AoS3,Romantic music,composer/era,high,
MMX114,MTR094,AoS3,Romantic music,composer/era,high,
MMX115,MTR095,AoS3,Romantic music,composer/era,high,
MMX116,MTR096,AoS3,Romantic music,composer/era,high,
MMX117,MTR097,AoS3,Romantic music,composer/era,high,
MMX118,MTR098,AoS3,Romantic music,composer/era,high,
MMX119,MTR099,AoS3,Romantic music,composer/era,medium,
MMX120,MTR100,AoS3,Romantic music,composer/era,high,
MMX121,MTR101,AoS1,Baroque music,composer/era,high,
MMX123,MTR102,AoS1,Baroque music,composer/era,high,
MDV001,MDA001,AoS2,Classical music,composer/era,high,
MDV002,MDA002,AoS2,Classical music,composer/era,high,
MDV005,MDA005,AoS3,Romantic music,composer/era,high,
MDV008,MDA008,AoS3,Romantic music,composer/era,medium,
MDV013,MDA013,AoS3,Romantic music,composer/era,high,
MDV016,MDA016,AoS3,Romantic music,composer/era,high,
MDV018,MDA018,AoS3,Romantic music,composer/era,high,
MDV020,MDA020,AoS3,Romantic music,composer/era,high,
MDV025,MDA025,AoS2,Classical music,composer/era,high,
MDV027,MDA027,AoS2,Classical music,composer/era,high,
MDV028,MDA028,AoS2,Classical music,composer/era,high,
MDV037,MDA037,AoS3,Romantic music,composer/era,high,
MDV039,MDA039,AoS1,Baroque music,composer/era,high,
MDV040,MDA040,AoS3,Romantic music,composer/era,high,
MDV023,MDA023,AoS3,Romantic music,composer/era,high,
MDV004,MDA004,AoS2,Classical music,composer/era,high,
MDV006,MDA006,AoS2,Classical music,composer/era,high,
MDV011,MDA011,AoS3,Romantic music,composer/era,medium,
MDV026,MDA026,AoS2,Classical music,composer/era,high,
MDV029,MDA029,AoS3,Romantic music,composer/era,high,
MDV030,MDA030,AoS3,Romantic music,composer/era,high,
MDV033,MDA033,AoS2,Classical music,composer/era,high,
MDV038,MDA038,AoS3,Romantic music,composer/era,high,
MDV034,MDA034,AoS2,Classical music,composer/era,high,
MDV041,MDA041,AoS1,Baroque music,composer/era,high,
MDV042,MDA042,AoS1,Baroque music,composer/era,high,
MDV043,MDA043,AoS1,Baroque music,composer/era,high,
MDV044,MDA044,AoS1,Baroque music,composer/era,high,
MDV045,MDA045,AoS1,Baroque music,composer/era,high,
MDV046,MDA046,AoS1,Baroque music,composer/era,high,
MDV047,MDA047,AoS2,Classical music,composer/era,high,
MDV048,MDA048,AoS2,Classical music,composer/era,high,
MDV049,MDA049,AoS2,Classical music,composer/era,high,
MDV050,MDA050,AoS1,Baroque music,composer/era,high,
MDV051,MDA051,AoS1,Baroque music,composer/era,high,
MDV052,MDA052,AoS1,Baroque music,composer/era,high,
MDV053,MDA053,AoS1,Baroque music,composer/era,high,
MDV054,MDA054,AoS7,Music for stage and screen,work title/genre,high,video game music
MDV055,MDA055,AoS7,Music for stage and screen,work title/genre,high,video game music
MDV056,MDA056,AoS7,Music for stage and screen,work title/genre,high,video game music
MDV057,MDA057,AoS7,Music for stage and screen,work title/genre,high,video game music
MDV058,MDA058,AoS7,Music for stage and screen,work title/genre,high,video game music
MDV059,MDA059,AoS7,Music for stage and screen,work title/genre,high,video game music
MDV060,MDA060,AoS5,Music for dance,work title/genre,high,EDM
MDV061,MDA061,AoS5,Music for dance,work title/genre,high,EDM
MDV062,MDA062,AoS5,Music for dance,work title/genre,high,EDM
MDV063,MDA063,AoS4,Music and words,work title/genre,high,musical theatre song
MDV064,MDA064,AoS4,Music and words,work title/genre,high,musical theatre song
MDV065,MDA065,AoS4,Music and words,work title/genre,high,choral/art song
MDV066,MDA066,AoS4,Music and words,work title/genre,high,choral/art song
MDV067,MDA067,AoS4,Music and words,work title/genre,high,choral/art song
MDV068,MDA068,AoS5,Music for dance,work title/genre,high,tango
MDV069,MDA069,AoS5,Music for dance,work title/genre,high,tango
MDV070,MDA070,AoS5,Music for dance,work title/genre,high,tango
MDV071,MDA071,AoS5,Music for dance,work title/genre,high,tango
MDV072,MDA072,AoS5,Music for dance,work title/genre,high,salsa
MDV073,MDA073,AoS5,Music for dance,work title/genre,high,salsa
MDV074,MDA074,AoS5,Music for dance,work title/genre,high,salsa
MDV075,MDA075,AoS5,Music for dance,work title/genre,high,salsa
MDV076,MDA076,AoS5,Music for dance,work title/genre,high,salsa
MDV077,MDA077,AoS6,Music for small ensemble,work title/genre,high,Hindustani classical
MDV078,MDA078,AoS6,Music for small ensemble,work title/genre,high,Hindustani classical
MDV079,MDA079,AoS6,Music for small ensemble,work title/genre,high,Hindustani classical
MDV080,MDA080,AoS6,Music for small ensemble,work title/genre,high,Hindustani classical
MDV081,MDA081,AoS6,Music for small ensemble,work title/genre,high,silk and bamboo ensemble
MDV082,MDA082,AoS6,Music for small ensemble,work title/genre,high,silk and bamboo ensemble
MDV083,MDA083,AoS6,Music for small ensemble,work title/genre,high,silk and bamboo ensemble
MDV084,MDA084,AoS6,Music for small ensemble,work title/genre,high,Arab takht ensemble
MDV085,MDA085,AoS6,Music for small ensemble,work title/genre,high,Arab takht ensemble
MDV086,MDA086,AoS6,Music for small ensemble,work title/genre,high,Arab takht ensemble
MDV087,MDA087,AoS6,Music for small ensemble,work title/genre,high,Arab takht ensemble
MDV088,MDA088,AoS3,Romantic music,composer/era,medium,
MDV089,MDA089,AoS1,Baroque music,composer/era,high,
MDV090,MDA090,AoS4,Music and words,work title/genre,medium,"sacred choral introit (word-based; chant origin predates AoS4's window, closest genre fit)"
MDV091,MDA091,AoS6,Music for small ensemble,work title/genre,high,Hindustani classical
MDV092,MDA092,AoS6,Music for small ensemble,work title/genre,high,Arab takht ensemble
MDV093,MDA093,AoS6,Music for small ensemble,work title/genre,high,Arab instrument demonstration
MDV094,MDA094,AoS6,Music for small ensemble,work title/genre,high,Arab takht ensemble
MDV095,MDA095,AoS6,Music for small ensemble,work title/genre,high,Arab takht ensemble
MDV096,MDA096,AoS6,Music for small ensemble,work title/genre,high,Arab takht ensemble
MDV097,MDA097,AoS6,Music for small ensemble,work title/genre,high,Hindustani classical
MDV098,MDA098,AoS6,Music for small ensemble,work title/genre,high,Hindustani classical
MDV099,MDA099,AoS7,Music for stage and screen,work title/genre,medium,"Kevin MacLeod production-music cue, cinematic/action style"
MDV100,MDA100,AoS7,Music for stage and screen,work title/genre,medium,"Kevin MacLeod production-music cue, cinematic/action style"
MDV101,MDA101,AoS1,Baroque music,composer/era,high,
MDV102,MDA102,AoS1,Baroque music,composer/era,high,
MDV106,MDA106,AoS1,Baroque music,composer/era,high,
MDV112,MDA112,AoS2,Classical music,composer/era,high,
MDV115,MDA115,AoS3,Romantic music,composer/era,medium,
MDV116,MDA116,AoS3,Romantic music,composer/era,high,
MDV117,MDA117,AoS3,Romantic music,composer/era,high,
MDV120,MDA120,AoS2,Classical music,composer/era,high,
MM001-M,MM001,AoS2,Classical music,composer/era,high,
MM002-S,MM002,AoS2,Classical music,composer/era,high,
MM002-M,MM002,AoS2,Classical music,composer/era,high,
MM003-S,MM003,AoS2,Classical music,composer/era,high,
MM003-M,MM003,AoS2,Classical music,composer/era,high,
MM004-F,MM004,AoS3,Romantic music,composer/era,high,
MM004-S,MM004,AoS3,Romantic music,composer/era,high,
MM004-M,MM004,AoS3,Romantic music,composer/era,high,
MM005-F,MM005,AoS3,Romantic music,composer/era,high,
MM005-M,MM005,AoS3,Romantic music,composer/era,high,
MM006-F,MM006,AoS3,Romantic music,composer/era,high,
MM006-D,MM006,AoS3,Romantic music,composer/era,high,
MM006-S,MM006,AoS3,Romantic music,composer/era,high,
MM006-M,MM006,AoS3,Romantic music,composer/era,high,
MM007-F,MM007,AoS2,Classical music,composer/era,high,
MM007-D,MM007,AoS2,Classical music,composer/era,high,
MM007-S,MM007,AoS2,Classical music,composer/era,high,
MM007-M,MM007,AoS2,Classical music,composer/era,high,
MM009-D,MM009,AoS2,Classical music,composer/era,high,
MM009-S,MM009,AoS2,Classical music,composer/era,high,
MM009-M,MM009,AoS2,Classical music,composer/era,high,
MM010-S,MM010,AoS2,Classical music,composer/era,high,
MM010-M,MM010,AoS2,Classical music,composer/era,high,
MM011-F,MM011,AoS2,Classical music,composer/era,high,
MM011-D,MM011,AoS2,Classical music,composer/era,high,
MM011-S,MM011,AoS2,Classical music,composer/era,high,
MM011-M,MM011,AoS2,Classical music,composer/era,high,
MM012-S,MM012,AoS3,Romantic music,composer/era,high,
MM012-M,MM012,AoS3,Romantic music,composer/era,high,
MM008-F,MM008,AoS3,Romantic music,composer/era,high,
MM008-D,MM008,AoS3,Romantic music,composer/era,high,
MM008-S,MM008,AoS3,Romantic music,composer/era,high,
MM008-M,MM008,AoS3,Romantic music,composer/era,high,
MM014-M,MM014,AoS3,Romantic music,composer/era,medium,
MM015-M,MM015,AoS3,Romantic music,composer/era,medium,
MM013-F,MM013,AoS2,Classical music,composer/era,high,
MM013-D,MM013,AoS2,Classical music,composer/era,high,
MM013-S,MM013,AoS2,Classical music,composer/era,high,
MM013-M,MM013,AoS2,Classical music,composer/era,high,
MM016-F,MM016,AoS3,Romantic music,composer/era,high,
MM016-S,MM016,AoS3,Romantic music,composer/era,high,
MM017-F,MM017,AoS3,Romantic music,composer/era,high,
MM017-M,MM017,AoS3,Romantic music,composer/era,high,
ENS001,ENS001,AoS2,Classical music,composer/era,high,
ENS002,ENS002,AoS2,Classical music,composer/era,high,
ENS003,ENS003,AoS3,Romantic music,composer/era,medium,
ENS004,ENS004,AoS3,Romantic music,composer/era,high,
ENS005,ENS005,AoS3,Romantic music,composer/era,high,
ENS006,ENS006,AoS3,Romantic music,composer/era,high,
ENS007,ENS007,AoS2,Classical music,composer/era,high,
ENS008,ENS008,AoS3,Romantic music,composer/era,high,
ENS009,ENS009,AoS3,Romantic music,composer/era,high,
ENS010,ENS010,AoS3,Romantic music,composer/era,high,
ENS011,ENS011,AoS2,Classical music,composer/era,high,
ENS015,ENS015,AoS1,Baroque music,composer/era,high,
ENS016,ENS016,AoS2,Classical music,composer/era,high,
ENS018,ENS018,AoS6,Music for small ensemble,work title/genre,high,Balinese gamelan
ENS020,ENS020,AoS5,Music for dance,work title/genre,medium,"ragtime, 1899 - right at the AoS4-7 20th-century boundary; ragtime originated as dance music (cakewalk), closest fit AoS5"
ENS021,ENS021,AoS2,Classical music,composer/era,high,
ENS022,ENS022,AoS2,Classical music,composer/era,high,
ENS023,ENS023,AoS3,Romantic music,composer/era,medium,
ENS024,ENS024,AoS3,Romantic music,composer/era,high,
ENS025,ENS025,AoS3,Romantic music,composer/era,high,
ENS026,ENS026,AoS3,Romantic music,composer/era,high,
ENS027,ENS027,AoS2,Classical music,composer/era,high,
ENS028,ENS028,AoS3,Romantic music,composer/era,high,
ENS029,ENS029,AoS3,Romantic music,composer/era,high,
ENS030,ENS030,AoS3,Romantic music,composer/era,high,
ENS031,ENS031,AoS2,Classical music,composer/era,high,
ENS032,ENS032,AoS2,Classical music,composer/era,high,
ENS033,ENS033,AoS2,Classical music,composer/era,high,
ENS034,ENS034,AoS2,Classical music,composer/era,high,
ENS037,ENS037,AoS3,Romantic music,composer/era,medium,
ENS038,ENS038,AoS6,Music for small ensemble,work title/genre,high,Balinese gamelan
ENS040,ENS040,AoS5,Music for dance,work title/genre,medium,"ragtime, 1899 - right at the AoS4-7 20th-century boundary; ragtime originated as dance music (cakewalk), closest fit AoS5"
ENS042,ENS042,AoS2,Classical music,composer/era,high,
ENS043,ENS043,AoS3,Romantic music,composer/era,medium,
ENS044,ENS044,AoS3,Romantic music,composer/era,high,
ENS046,ENS046,AoS3,Romantic music,composer/era,high,
ENS047,ENS047,AoS2,Classical music,composer/era,high,
ENS048,ENS048,AoS3,Romantic music,composer/era,high,
ENS049,ENS049,AoS3,Romantic music,composer/era,high,
ENS050,ENS050,AoS3,Romantic music,composer/era,high,
ENS051,ENS051,AoS4,Music and words,work title/genre,high,musical theatre song
ENS052,ENS052,AoS4,Music and words,work title/genre,high,choral
ENS053,ENS053,AoS5,Music for dance,work title/genre,high,tango
ENS054,ENS054,AoS5,Music for dance,work title/genre,high,tango
ENS055,ENS055,AoS5,Music for dance,work title/genre,high,tango
ENS056,ENS056,AoS6,Music for small ensemble,work title/genre,high,Arab takht ensemble
ENS062,ENS062,AoS6,Music for small ensemble,work title/genre,high,Hindustani classical
ENS063,ENS063,AoS6,Music for small ensemble,work title/genre,high,Hindustani classical
ENS064,ENS064,AoS6,Music for small ensemble,work title/genre,high,Hindustani classical
ENS065,ENS065,AoS5,Music for dance,work title/genre,high,salsa
ENS066,ENS066,AoS5,Music for dance,work title/genre,high,salsa
ENS067,ENS067,AoS5,Music for dance,work title/genre,high,salsa (brass)
ENS068,ENS068,AoS6,Music for small ensemble,work title/genre,high,Arab takht ensemble
ENS069,ENS069,AoS6,Music for small ensemble,work title/genre,high,Hindustani classical
ENS070,ENS070,AoS6,Music for small ensemble,work title/genre,high,Hindustani classical
ENS071,ENS071,AoS6,Music for small ensemble,work title/genre,high,Hindustani classical
ENS072,ENS072,AoS6,Music for small ensemble,work title/genre,high,Hindustani classical
ENS073,ENS073,AoS6,Music for small ensemble,work title/genre,high,Hindustani classical
ENS074,ENS074,AoS4,Music and words,work title/genre,medium,"jazz combo; no CIE AoS4-7 focus area names jazz specifically, closest fit is the popular-music umbrella of AoS4"
ENS075,ENS075,AoS4,Music and words,work title/genre,medium,"jazz combo; no CIE AoS4-7 focus area names jazz specifically, closest fit is the popular-music umbrella of AoS4"
ENS076,ENS076,AoS6,Music for small ensemble,work title/genre,high,Arab takht ensemble
TT001,II201,AoS1,Baroque music,composer/era,high,
TT007,TT007,AoS1,Baroque music,composer/era,high,
TT008,TT008,AoS1,Baroque music,composer/era,high,
TT009,TT009,AoS3,Romantic music,composer/era,medium,
TT010,TT010,AoS3,Romantic music,composer/era,high,
TT011,TT011,AoS1,Baroque music,composer/era,high,
TT012,TT012,AoS1,Baroque music,composer/era,high,
TT013,TT013,AoS1,Baroque music,composer/era,high,
TT014,TT014,AoS1,Baroque music,composer/era,high,
TT015,TT015,AoS1,Baroque music,composer/era,high,
TT016,TT016,AoS3,Romantic music,composer/era,medium,
TT017,TT017,AoS1,Baroque music,composer/era,high,
TT018,TT018,AoS3,Romantic music,composer/era,high,
TT019,TT019,AoS1,Baroque music,composer/era,high,
TT020,TT020,AoS1,Baroque music,composer/era,high,
TT021,TT021,AoS1,Baroque music,composer/era,high,
TT022,TT022,AoS1,Baroque music,composer/era,high,
TT023,TT023,AoS1,Baroque music,composer/era,high,
TT024,TT024,AoS1,Baroque music,composer/era,high,
TT025,TT025,AoS1,Baroque music,composer/era,high,
TT026,TT026,AoS1,Baroque music,composer/era,high,
TT027,TT027,AoS1,Baroque music,composer/era,high,
TT028,TT028,AoS1,Baroque music,composer/era,high,
TT029,TT029,AoS1,Baroque music,composer/era,high,
TT030,TT030,AoS1,Baroque music,composer/era,high,
TT032,TT032,AoS1,Baroque music,composer/era,high,
TT033,TT033,AoS1,Baroque music,composer/era,high,
TT034,TT034,AoS1,Baroque music,composer/era,high,
TT035,TT035,AoS1,Baroque music,composer/era,high,
TT036,TT036,AoS1,Baroque music,composer/era,high,
TT037,TT037,AoS1,Baroque music,composer/era,high,
TT041,TT041,AoS1,Baroque music,composer/era,high,
TT042,TT042,AoS1,Baroque music,composer/era,high,
TT043,TT043,AoS1,Baroque music,composer/era,high,
TT044,TT044,AoS1,Baroque music,composer/era,high,
TT046,TT046,AoS3,Romantic music,composer/era,high,
TT047,TT047,AoS1,Baroque music,composer/era,high,
TT048,TT048,AoS1,Baroque music,composer/era,high,
TT049,TT049,AoS1,Baroque music,composer/era,high,
TT050,TT050,AoS3,Romantic music,composer/era,medium,
TT051,TT051,AoS1,Baroque music,composer/era,high,
TT052,TT052,AoS1,Baroque music,composer/era,high,
TT053,TT053,AoS3,Romantic music,composer/era,medium,
TT054,TT054,AoS3,Romantic music,composer/era,medium,
TT055,TT055,AoS1,Baroque music,composer/era,high,
TT056,TT056,AoS3,Romantic music,composer/era,medium,
TT057,TT057,AoS3,Romantic music,composer/era,high,
TT058,TT058,AoS1,Baroque music,composer/era,high,
TT059,TT059,AoS3,Romantic music,composer/era,high,
TT061,TT061,AoS3,Romantic music,composer/era,high,
TT062,TT062,AoS1,Baroque music,composer/era,high,
TT063,TT063,AoS3,Romantic music,composer/era,high,
TT064,TT064,AoS1,Baroque music,composer/era,high,
TT065,TT065,AoS1,Baroque music,composer/era,high,
TT066,TT066,AoS3,Romantic music,composer/era,high,
TT067,TT067,AoS3,Romantic music,composer/era,high,
TT068,TT068,AoS1,Baroque music,composer/era,high,
TT069,TT069,AoS3,Romantic music,composer/era,high,
TT070,TT070,AoS2,Classical music,composer/era,high,
TT071,TT071,AoS3,Romantic music,composer/era,high,
TT072,TT072,AoS3,Romantic music,composer/era,high,
TT073,TT073,AoS3,Romantic music,composer/era,high,
TT075,TT075,AoS1,Baroque music,composer/era,high,
TT076,TT076,AoS3,Romantic music,composer/era,high,
TT077,TT077,AoS1,Baroque music,composer/era,high,
TT078,TT078,AoS1,Baroque music,composer/era,high,
TT079,TT079,AoS2,Classical music,composer/era,high,
TT080,TT080,AoS2,Classical music,composer/era,high,
TT081,TT081,AoS1,Baroque music,composer/era,high,
TT082,TT082,AoS2,Classical music,composer/era,high,
TT083,TT083,AoS1,Baroque music,composer/era,high,
TT084,TT084,AoS2,Classical music,composer/era,high,
TT085,TT085,AoS3,Romantic music,composer/era,high,
TT086,TT086,AoS3,Romantic music,composer/era,high,
TT087,TT087,AoS3,Romantic music,composer/era,medium,
TT088,TT088,AoS3,Romantic music,composer/era,high,
TT089,TT089,AoS1,Baroque music,composer/era,high,
TT090,TT090,AoS3,Romantic music,composer/era,high,
TT091,TT091,AoS2,Classical music,composer/era,high,
TT093,TT093,AoS2,Classical music,composer/era,high,
TT095,TT095,AoS2,Classical music,composer/era,high,
TT097,TT097,AoS3,Romantic music,composer/era,high,
TT098,TT098,AoS3,Romantic music,composer/era,high,
TT099,TT099,AoS1,Baroque music,composer/era,high,
TT100,TT100,AoS2,Classical music,composer/era,high,
TT101,TT101,AoS4,Music and words,work title/genre,medium,"traditional hymn/folk song, word-based; origin predates AoS4's 20th-century window, closest genre fit"
TT105,TT105,AoS3,Romantic music,composer/era,high,
TT108,TT108,AoS3,Romantic music,composer/era,medium,
TT109,TT109,AoS3,Romantic music,work title/genre,medium,"anonymous Spanish guitar Romance, commonly dated Romantic-era; no composer to confirm AoS1-3 lineage precisely"
TT111,TT111,AoS1,Baroque music,composer/era,high,
TT112,TT112,AoS1,Baroque music,composer/era,high,
TT113,TT113,AoS1,Baroque music,composer/era,high,
TT114,TT114,AoS3,Romantic music,composer/era,high,
TT115,TT115,AoS1,Baroque music,composer/era,high,
TT116,TT116,AoS4,Music and words,work title/genre,medium,"traditional folk round, word-based; ancient origin, closest genre fit"
TT117,TT117,AoS4,Music and words,composer/era,medium,Renaissance-era sacred choral (predates AoS1's Baroque start and AoS4's 20th-century window); closest genre fit is AoS4 (words/choir)
TT118,TT118,AoS2,Classical music,composer/era,high,
TT120,TT120,AoS1,Baroque music,composer/era,high,
TT121,TT121,AoS6,Music for small ensemble,work title/genre,high,world/small-ensemble tradition
TT122,TT122,AoS6,Music for small ensemble,work title/genre,high,world/small-ensemble tradition
TT123,TT123,AoS6,Music for small ensemble,work title/genre,high,world/small-ensemble tradition
TT124,TT124,AoS6,Music for small ensemble,work title/genre,high,world/small-ensemble tradition
TT125,TT125,AoS6,Music for small ensemble,work title/genre,high,world/small-ensemble tradition
TT127,TT127,AoS1,Baroque music,composer/era,high,
TT128,TT128,AoS1,Baroque music,composer/era,high,
TT130,TT130,AoS4,Music and words,composer/era,medium,Renaissance-era sacred choral (predates AoS1's Baroque start and AoS4's 20th-century window); closest genre fit is AoS4 (words/choir)
TT131,TT131,AoS4,Music and words,composer/era,medium,Renaissance-era sacred choral (predates AoS1's Baroque start and AoS4's 20th-century window); closest genre fit is AoS4 (words/choir)
TT132,TT132,AoS4,Music and words,composer/era,medium,Renaissance-era sacred choral (predates AoS1's Baroque start and AoS4's 20th-century window); closest genre fit is AoS4 (words/choir)
TT133,TT133,AoS4,Music and words,composer/era,medium,Renaissance-era sacred choral (predates AoS1's Baroque start and AoS4's 20th-century window); closest genre fit is AoS4 (words/choir)
TT134,TT134,AoS4,Music and words,composer/era,medium,Renaissance-era sacred choral (predates AoS1's Baroque start and AoS4's 20th-century window); closest genre fit is AoS4 (words/choir)
TT135,TT135,AoS4,Music and words,composer/era,medium,Renaissance-era sacred choral (predates AoS1's Baroque start and AoS4's 20th-century window); closest genre fit is AoS4 (words/choir)
TT136,TT136,AoS4,Music and words,work title/genre,high,"contemporary composer, choral"
TT139,TT139,AoS6,Music for small ensemble,work title/genre,high,world/small-ensemble tradition
TT140,TT140,AoS4,Music and words,work title/genre,medium,"traditional hymn/folk song, word-based; origin predates AoS4's 20th-century window, closest genre fit"
TT147,TT147,AoS2,Classical music,work title/genre,high,Mozart K.332
TT148,TT148,AoS3,Romantic music,work title/genre,high,Chopin Op.15 No.2
TT149,TT149,AoS4,Music and words,work title/genre,medium,"traditional hymn/folk song, word-based; origin predates AoS4's 20th-century window, closest genre fit"
TT150,TT150,AoS4,Music and words,work title/genre,medium,sacred choral setting honouring a 20th-century-canonised saint; likely 20th-century composition
TT151,TT151,AoS1,Baroque music,work title/genre,high,J.S. Bach BWV 1001
TT152,TT152,AoS1,Baroque music,work title/genre,high,Telemann TWV fantasia
TT168,TT168,AoS3,Romantic music,work title/genre,high,Borodin tone poem
TT169,TT169,AoS2,Classical music,work title/genre,high,Mozart K.545
TT170,TT170,AoS6,Music for small ensemble,work title/genre,high,world/small-ensemble tradition
TT171,TT171,AoS6,Music for small ensemble,work title/genre,high,world/small-ensemble tradition
TT172,TT172,AoS6,Music for small ensemble,work title/genre,high,world/small-ensemble tradition
TT173,TT173,AoS6,Music for small ensemble,work title/genre,high,world/small-ensemble tradition
II001,II001,AoS2,Classical music,genre field (era),high,
II002,II002,AoS2,Classical music,genre field (era),high,
II003,II003,AoS2,Classical music,genre field (era),high,
II004,II004,AoS2,Classical music,genre field (era),high,
II005,II005,AoS2,Classical music,genre field (era),high,
II006,II006,AoS2,Classical music,genre field (era),high,
