question_id,clip_id,musical_element,primary_skill_code,primary_skill_name,secondary_skill_codes,learning_stage,difficulty_band,period,genre,ensemble,metadata_confidence,metadata_review_status
II005,CLIP-1B38EA59E2EE,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Developing,Classical/Romantic transition,Sonata,Piano Accomp.,high,Tagged
II006,CLIP-BA2BF1125F91,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Developing,Classical/Romantic transition,Sonata,Piano Accomp.,high,Tagged
II007,CLIP-D5F92722A907,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Foundation,Baroque,,Solo,medium,Review
II008,CLIP-48F13861151B,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Foundation,Baroque,,Solo,medium,Review
II009,CLIP-E2F0E2511B48,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Foundation,Baroque,,Solo,medium,Review
II010,CLIP-646DD279B656,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Foundation,Baroque,,Solo,medium,Review
II011,CLIP-7E20DA6BED3D,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Developing,Classical/Romantic transition,Sonata,Piano Accomp.,high,Tagged
II012,CLIP-5E8544720EB7,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Securing,Classical/Romantic transition,Sonata,Piano Accomp.,high,Tagged
II013,CLIP-1E08BC27E146,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Developing,Classical,Sonata,Piano Accomp.,high,Tagged
II014,CLIP-D31D27BE6B6D,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Developing,Classical,Sonata,Piano Accomp.,high,Tagged
II015,CLIP-880A1ABB030C,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Securing,Classical/Romantic transition,Concerto,Orchestral,high,Tagged
II016,CLIP-8895B408801D,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Developing,Classical/Romantic transition,Concerto,Orchestral,high,Tagged
II017,CLIP-1AC448A4BBE5,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Developing,Classical/Romantic transition,Sonata,Piano Accomp.,high,Tagged
II018,CLIP-FA928F966079,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Developing,Classical/Romantic transition,Sonata,Piano Accomp.,high,Tagged
II019,CLIP-56C93B48E3B9,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Securing,Classical/Romantic transition,Sonata,Piano Accomp.,high,Tagged
II020,CLIP-1BC0145CD248,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Securing,Baroque,Sonata,Organ Accomp.,high,Tagged
II021,CLIP-E5A38D61240F,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Securing,Baroque,Sonata,Organ Accomp.,high,Tagged
II022,CLIP-8B6C21CC9D6F,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Securing,Baroque,Concerto,Orchestral,high,Tagged
II023,CLIP-421F46094C80,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Securing,Baroque,Concerto,Orchestral,high,Tagged
II024,CLIP-C7A76D9D7F50,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Securing,Baroque,Concerto,Orchestral,high,Tagged
II025,CLIP-E03166FEC69F,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Securing,,,Piano Accomp.,medium,Review
II026,CLIP-71ED9B400FCD,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Securing,,,Piano Accomp.,medium,Review
II027,CLIP-01AD6540FAF7,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Foundation,,,Solo,medium,Review
II028,CLIP-3EAB9ED166F6,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Foundation,,,Solo,medium,Review
II029,CLIP-10A237E236C0,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Foundation,,,Solo,medium,Review
II030,CLIP-DF3D14E4CFCB,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Foundation,,,Solo,medium,Review
II031,CLIP-DC2CBD6FF3F8,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Foundation,Baroque,Sonata,Solo,high,Tagged
II032,CLIP-0E9FBFA477CA,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Foundation,Baroque,Sonata,Solo,high,Tagged
II033,CLIP-B76B4932A796,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Mastering,,Sonata,Orchestral,medium,Review
II034,CLIP-8B49137AE23A,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Mastering,,Sonata,Orchestral,medium,Review
II035,CLIP-2E02BA2BFA7C,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Mastering,Romantic,,Piano Accomp.,medium,Review
II036,CLIP-684AD73F0177,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Mastering,Romantic,,Piano Accomp.,medium,Review
II037,CLIP-ACFFE1B15CD5,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Mastering,Romantic,,Piano Accomp.,medium,Review
II038,CLIP-6E4947E43E2D,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Mastering,Romantic,,Piano Accomp.,medium,Review
II039,CLIP-9712C9354F45,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Foundation,Baroque,Suite,Solo,high,Tagged
II040,CLIP-E3787A0C5F5D,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Foundation,Baroque,Suite,Solo,high,Tagged
II041,CLIP-2B66A9196F3B,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Foundation,Baroque,Suite,Solo,high,Tagged
II042,CLIP-B5CCFA9DC607,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Foundation,Baroque,Suite,Solo,high,Tagged
II043,CLIP-31028F514A54,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Developing,,Sonata,Piano Accomp.,high,Review
II044,CLIP-3C7878B63AF9,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Mastering,,Sonata,Piano Accomp.,high,Review
II045,CLIP-DA585D60C3DB,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Securing,,Sonata,Piano Accomp.,high,Review
II046,CLIP-C13C9B32DE29,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Securing,,Sonata,Piano Accomp.,high,Review
II047,CLIP-D39FDCFCAF4B,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Securing,,Sonata,Piano Accomp.,high,Review
II048,CLIP-AA691AE84835,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Securing,,Concerto,Orchestral,medium,Review
II049,CLIP-C17AD3A7F487,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Mastering,,Concerto,Orchestral,medium,Review
II050,CLIP-CD184819D52B,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Securing,,Concerto,Orchestral,medium,Review
II051,CLIP-5A8CE86E4B4B,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Securing,,Concerto,Orchestral,medium,Review
II052,CLIP-092F26817A73,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Securing,,Concerto,Orchestral,medium,Review
II053,CLIP-FA7C620E7D24,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Mastering,Twentieth century,Sonata,Piano Accomp.,high,Tagged
II054,CLIP-AB6192D407EE,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Developing,Twentieth century,Sonata,Piano Accomp.,high,Tagged
II055,CLIP-6AF32876910F,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Securing,Twentieth century,Sonata,Piano Accomp.,high,Tagged
II056,CLIP-F623289EDCE2,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Mastering,,Concerto,Orchestral,medium,Review
II057,CLIP-7874532D3820,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Securing,,Concerto,Orchestral,medium,Review
II058,CLIP-85D68D6217F6,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Developing,,Concerto,Orchestral,medium,Review
II059,CLIP-1E9D9D3CDC65,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Developing,,Concerto,Orchestral,medium,Review
II060,CLIP-3B0B57D23E49,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Developing,,Concerto,Orchestral,medium,Review
II061,CLIP-2CF444AE7DBC,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Developing,,Concerto,Orchestral,medium,Review
II062,CLIP-05DDF4C12254,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Developing,Twentieth century,Sonata,Piano Accomp.,high,Tagged
II063,CLIP-476AD11F16E8,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Developing,Twentieth century,Sonata,Piano Accomp.,high,Tagged
II064,CLIP-E62EA2836FBB,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Developing,Twentieth century,Sonata,Piano Accomp.,high,Tagged
II065,CLIP-2188810222C5,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Developing,Twentieth century,Sonata,Piano Accomp.,high,Tagged
II066,CLIP-99F3317F092B,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Securing,Classical,Concerto,Orchestral,high,Tagged
II067,CLIP-7997EFBA03ED,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Developing,Classical,Concerto,Orchestral,high,Tagged
II068,CLIP-6EAA1B494D50,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Securing,Classical,Concerto,Orchestral,high,Tagged
II069,CLIP-6ADE25AEDCAD,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Securing,Classical,Concerto,Orchestral,high,Tagged
II070,CLIP-AD710FC01EF4,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Developing,Baroque,Sonata,Harpsichord,high,Tagged
II071,CLIP-504F90757D50,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Developing,Baroque,Sonata,Harpsichord,high,Tagged
II072,CLIP-D8B0A1D07065,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Developing,Baroque,Suite,Solo,high,Tagged
II073,CLIP-F5593EE4707A,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Developing,Baroque,Suite,Solo,high,Tagged
II074,CLIP-3EE7AA59E4B0,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Developing,Baroque,Suite,Solo,high,Tagged
II075,CLIP-9E543D9B06A3,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Developing,Romantic,Sonata,Orchestral,high,Tagged
II076,CLIP-78D1F8D9C0D8,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Developing,Romantic,Sonata,Orchestral,high,Tagged
II077,CLIP-59D1BDB2A7EF,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Developing,Romantic,Sonata,Orchestral,high,Tagged
II078,CLIP-3EFA80723BD7,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Developing,Romantic,Sonata,Orchestral,high,Tagged
II079,CLIP-ECD73F16829E,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Foundation,Baroque,Suite,Solo,high,Tagged
II080,CLIP-15738FC9F294,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Foundation,Baroque,Suite,Solo,high,Tagged
II081,CLIP-E524CD09124E,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Foundation,Baroque,Suite,Solo,high,Tagged
II082,CLIP-64F03196836B,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Developing,Baroque,Sonata,Harpsichord,high,Tagged
II083,CLIP-FBC4339E9D0B,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Developing,Baroque,Sonata,Harpsichord,high,Tagged
II084,CLIP-853BE2324B22,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Developing,Baroque,Sonata,Harpsichord,high,Tagged
II085,CLIP-B28568682337,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Developing,Baroque,Sonata,Harpsichord,high,Tagged
II086,CLIP-CB9F7DEB2651,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Developing,,Sonata,Piano Accomp.,high,Review
II087,CLIP-743C92F975FF,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Developing,,Sonata,Piano Accomp.,high,Review
II088,CLIP-AA88FECC06C7,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Developing,,Sonata,Piano Accomp.,high,Review
II089,CLIP-6DE9B4950940,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Developing,,Sonata,Piano Accomp.,high,Review
II090,CLIP-5209AD0016B3,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Developing,Classical/Romantic transition,Sonata,Piano Accomp.,high,Tagged
II091,CLIP-56E94FD0FE5C,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Developing,Classical/Romantic transition,Sonata,Piano Accomp.,high,Tagged
II092,CLIP-3A43794AE92E,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Securing,Classical/Romantic transition,Sonata,Piano Accomp.,high,Tagged
II093,CLIP-B05CEB45F720,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Developing,Classical/Romantic transition,Sonata,Piano Accomp.,high,Tagged
II094,CLIP-DAB52A61FFC5,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Developing,Classical/Romantic transition,Sonata,Piano Accomp.,high,Tagged
II095,CLIP-36541CB40FFF,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Developing,Classical/Romantic transition,Sonata,Piano Accomp.,high,Tagged
II096,CLIP-2F181EF25D62,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Developing,Classical/Romantic transition,Sonata,Piano Accomp.,high,Tagged
II097,CLIP-C5C878763FFD,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Developing,Classical/Romantic transition,Sonata,Piano Accomp.,high,Tagged
II098,CLIP-6EF758CCCD7A,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Developing,Romantic,Sonata,Piano Accomp.,high,Tagged
II099,CLIP-2DC361124552,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Developing,Romantic,Sonata,Piano Accomp.,high,Tagged
II100,CLIP-27234A7CB5C6,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Developing,Romantic,Sonata,Piano Accomp.,high,Tagged
II101,CLIP-EFE783FF6258,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Foundation,Baroque,Suite,Solo,high,Tagged
II102,CLIP-C74B023601B7,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Foundation,Baroque,Suite,Solo,high,Tagged
II103,CLIP-4AC509496742,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Foundation,Baroque,Suite,Solo,high,Tagged
II104,CLIP-6D3ECC75CAAA,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Foundation,Baroque,Suite,Solo,high,Tagged
II105,CLIP-576391C6A154,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Developing,Baroque,Suite,Solo,high,Tagged
II106,CLIP-83F1AD77A603,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Developing,Baroque,Suite,Solo,high,Tagged
II107,CLIP-2C00B7CB77AF,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Developing,Baroque,Suite,Solo,high,Tagged
II108,CLIP-E258E7D731CC,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Developing,Baroque,Suite,Solo,high,Tagged
II109,CLIP-F02ADF624CAF,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Foundation,Baroque,Suite,Solo,high,Tagged
