question_id,module_id,field_needing_review,current_value,reason
II233,instrument-identifier,composer/source context,,Could not infer safely from supplied metadata.
II234,instrument-identifier,composer/source context,,Could not infer safely from supplied metadata.
II235,instrument-identifier,composer/source context,,Could not infer safely from supplied metadata.
II236,instrument-identifier,composer/source context,,Could not infer safely from supplied metadata.
II237,instrument-identifier,composer/source context,,Could not infer safely from supplied metadata.
II238,instrument-identifier,composer/source context,,Could not infer safely from supplied metadata.
II239,instrument-identifier,composer/source context,,Could not infer safely from supplied metadata.
II240,instrument-identifier,composer/source context,,Could not infer safely from supplied metadata.
II250,instrument-identifier,composer/source context,,Could not infer safely from supplied metadata.
II251,instrument-identifier,composer/source context,,Could not infer safely from supplied metadata.
II252,instrument-identifier,composer/source context,,Could not infer safely from supplied metadata.
II253,instrument-identifier,composer/source context,,Could not infer safely from supplied metadata.
II254,instrument-identifier,composer/source context,,Could not infer safely from supplied metadata.
II255,instrument-identifier,composer/source context,,Could not infer safely from supplied metadata.
II256,instrument-identifier,composer/source context,,Could not infer safely from supplied metadata.
II257,instrument-identifier,composer/source context,,Could not infer safely from supplied metadata.
II258,instrument-identifier,composer/source context,,Could not infer safely from supplied metadata.
II259,instrument-identifier,composer/source context,,Could not infer safely from supplied metadata.
II260,instrument-identifier,composer/source context,,Could not infer safely from supplied metadata.
II261,instrument-identifier,composer/source context,,Could not infer safely from supplied metadata.
II262,instrument-identifier,composer/source context,,Could not infer safely from supplied metadata.
II263,instrument-identifier,composer/source context,,Could not infer safely from supplied metadata.
II264,instrument-identifier,genre; composer/source context,,Could not infer safely from supplied metadata.
II265,instrument-identifier,genre; composer/source context,,Could not infer safely from supplied metadata.
II266,instrument-identifier,genre; composer/source context,,Could not infer safely from supplied metadata.
II267,instrument-identifier,genre; composer/source context,,Could not infer safely from supplied metadata.
II268,instrument-identifier,genre; composer/source context,,Could not infer safely from supplied metadata.
II269,instrument-identifier,genre; composer/source context,,Could not infer safely from supplied metadata.
II270,instrument-identifier,genre; composer/source context,,Could not infer safely from supplied metadata.
II271,instrument-identifier,composer/source context,,Could not infer safely from supplied metadata.
II272,instrument-identifier,composer/source context,,Could not infer safely from supplied metadata.
II273,instrument-identifier,composer/source context,,Could not infer safely from supplied metadata.
II274,instrument-identifier,composer/source context,,Could not infer safely from supplied metadata.
II275,instrument-identifier,composer/source context,,Could not infer safely from supplied metadata.
II276,instrument-identifier,composer/source context,,Could not infer safely from supplied metadata.
II277,instrument-identifier,composer/source context,,Could not infer safely from supplied metadata.
II278,instrument-identifier,composer/source context,,Could not infer safely from supplied metadata.
II279,instrument-identifier,composer/source context,,Could not infer safely from supplied metadata.
II280,instrument-identifier,composer/source context,,Could not infer safely from supplied metadata.
II281,instrument-identifier,composer/source context,,Could not infer safely from supplied metadata.
II282,instrument-identifier,composer/source context,,Could not infer safely from supplied metadata.
II283,instrument-identifier,composer/source context,,Could not infer safely from supplied metadata.
II284,instrument-identifier,composer/source context,,Could not infer safely from supplied metadata.
