ID,Family,Instrument,TYPE,DIFFICULTY,COMPOSER,Genre,Year,Key,WORK,Remarks,II Question,II Answer,MM Question,MM Answer,Articulation,Cadence,AUDIO,Sourcse,Rights
II022,Strings,VIOLIN,Orchestral,MEDIUM,Bach ,Baroque,,D minor,Double Violin Concerto,,Identify the solo instrument.,VIOLIN,,,,,https://drive.google.com/file/d/1zjGorgXv9gWYXGjuHumMgruG-Lph6DQm/view?usp=sharing,MusOpen,PD
II023,Strings,VIOLIN,Orchestral,MEDIUM,Bach ,Baroque,,D minor,Double Violin Concerto,,Identify the solo instrument.,VIOLIN,,,,,https://drive.google.com/file/d/1IhKaoXoFcVRY28tpCN_s7oDJ1SEQjueC/view?usp=sharing,MusOpen,PD
II024,Strings,VIOLIN,Orchestral,MEDIUM,Bach ,Baroque,,D minor,Double Violin Concerto (3),,Identify the solo instrument.,VIOLIN,,,,,https://drive.google.com/file/d/1cprJMFTlJJaitzq1wJ1hG4AxvTUpKUxt/view?usp=sharing,MusOpen,PD
II025,Strings,VIOLIN,Piano Accomp.,MEDIUM,Dushkin,20th Century,,E flat Major,Sicilliene,,Identify the solo instrument.,VIOLIN,,,,,https://drive.google.com/file/d/1LaqJNWkNOtxvrOWOiVNChl00rEBm83mZ/view?usp=sharing,MusOpen,PD
II026,Strings,VIOLIN,Piano Accomp.,MEDIUM,Dushkin,20th Century,,E flat Major,Sicilliene,,Identify the solo instrument.,VIOLIN,,,,,https://drive.google.com/file/d/12Hn8k-jTj6Y6SnJuIhRM_BO1-PeD8DKm/view?usp=sharing,MusOpen,PD
II027,Strings,VIOLIN,Solo,EASY,,,,,Sarabande,,Identify the instrument.,VIOLIN,,,,,https://drive.google.com/file/d/1SfsTIKxxu5N5RJJKLRlIAijpHGIURpbf/view?usp=sharing,MusOpen,PD
II028,Strings,VIOLIN,Solo,EASY,,,,,Sarabande,,Identify the instrument.,VIOLIN,,,,,https://drive.google.com/file/d/1syWbys26VdM2qZMS6pM1zF4NNUjdRmxN/view?usp=sharing,MusOpen,PD
II029,Strings,VIOLIN,Solo,EASY,,,,,Sarabande,,Identify the instrument.,VIOLIN,,,,,https://drive.google.com/file/d/1dO_bEFHb8dOo39SCNPnkZcbPnKphewYC/view?usp=sharing,MusOpen,PD
II030,Strings,VIOLIN,Solo,EASY,,,,,IV Double Presto,,Identify the instrument.,VIOLIN,,,,,https://drive.google.com/file/d/189SE8mZGyMRb-OIjrmB7mvp2mMlMtAIP/view?usp=sharing,MusOpen,PD
II031,Strings,VIOLIN,Solo,EASY,Bach,Baroque,,G minor,Sonata No 1 (4),,Identify the instrument.,VIOLIN,,,,,https://drive.google.com/file/d/1XOg-xD6BKho1_r8j9tE4kN-Uvx_LokOR/view?usp=sharing,MusOpen,PD
II032,Strings,VIOLIN,Solo,EASY,Bach,Baroque,,G minor,Sonata No 1 (4),,Identify the instrument.,VIOLIN,,,,,https://drive.google.com/file/d/1TM5ruXxKdhw2KrkKr8jdr7uvAtuKFgLs/view?usp=sharing,MusOpen,PD
II033,Strings,VIOLA,Orchestral,HARD,Rolla,,,,Viola Sonatas Op. 3 (1),,Identify the solo instrument.,VIOLA,,,,,https://drive.google.com/file/d/1sb-NebBvzQmcLyX20AVKKrJari8UOk1i/view?usp=sharing,MusOpen,PD
II034,Strings,VIOLA,Orchestral,HARD,Rolla,,,,Viola Sonatas Op. 3 (1),,Identify the solo instrument.,VIOLA,,,,,https://drive.google.com/file/d/1RjLquoAt3MqDfbUDVpatMto6_2VDB89J/view?usp=sharing,MusOpen,PD
II035,Strings,VIOLA,Piano Accomp.,HARD,Schumann,Romantic,,,Marchenbilder Op. 113,,Identify the solo instrument.,VIOLA,,,,,https://drive.google.com/file/d/1bsVFf3KpK-0yBF33eNB9aTgR9MWHVXl2/view?usp=sharing,MusOpen,PD
II036,Strings,VIOLA,Piano Accomp.,HARD,Schumann,Romantic,,,Marchenbilder Op. 113,,Identify the solo instrument.,VIOLA,,,,,https://drive.google.com/file/d/10nxFA2ykGuhYYchCbvmlaZMnK7FECXci/view?usp=sharing,MusOpen,PD
II037,Strings,VIOLA,Piano Accomp.,HARD,Schumann,Romantic,,,Marchenbilder Op. 113,,Identify the solo instrument.,VIOLA,,,,,https://drive.google.com/file/d/1H_SOdD0FBOlqCB0DQsz1Lik9LoZmaoa_/view?usp=sharing,MusOpen,PD
II038,Strings,VIOLA,Piano Accomp.,HARD,Schumann,Romantic,,,Marchenbilder Op. 113,,Identify the solo instrument.,VIOLA,,,,,https://drive.google.com/file/d/1Kbq-ahPpuFfDvG4SkWwKP-e6rhTnZKcc/view?usp=sharing,MusOpen,PD
II039,Strings,CELLO,Solo,EASY,Bach,Baroque,,C Major,Cello Suite No. 3 (2),,Identify the instrument.,CELLO,,,,,https://drive.google.com/file/d/1IDsh4VcdQIMT9_ViNoMY9XES4cKwKOw1/view?usp=sharing,MusOpen,PD
II040,Strings,CELLO,Solo,EASY,Bach,Baroque,,C Major,Cello Suite No. 3 (2),,Identify the instrument.,CELLO,,,,,https://drive.google.com/file/d/13onCx25hcPjKPFMnyYSGmDz5dDZiQBOO/view?usp=sharing,MusOpen,PD
II041,Strings,CELLO,Solo,EASY,Bach,Baroque,,,Cello Suite No. 3 (6),,Identify the instrument.,CELLO,,,,,https://drive.google.com/file/d/1lp970aFy7iKD0KeyoEb5P2O6tEJxIM8x/view?usp=sharing,MusOpen,PD
II042,Strings,CELLO,Solo,EASY,Bach,Baroque,,,Cello Suite No. 3 (6),,Identify the instrument.,CELLO,,,,,https://drive.google.com/file/d/1j1BMcTkWW-BwE4Q0KqQAirO5aR4QTfOK/view?usp=sharing,MusOpen,PD
II043,Strings,CELLO,Piano Accomp.,EASY,,,,,Cello Sonata - 3 Finale,,Identify the solo instrument.,CELLO,,,,,https://drive.google.com/file/d/15E8mwIun8nmVR7P8kfkJxSow-I5CrXex/view?usp=sharing,MusOpen,PD
II044,Strings,CELLO,Piano Accomp.,HARD,,,,,Cello Sonata - 3 Finale,,Identify the solo instrument.,CELLO,,,Pizzicato,,https://drive.google.com/file/d/1lxthkl2S7aXGlE2vmfEGxYqfLZCvolzq/view?usp=sharing,MusOpen,PD
II045,Strings,CELLO,Piano Accomp.,MEDIUM,,,,,Cello Sonata - 3 Finale,,Identify the solo instrument.,CELLO,,,,,https://drive.google.com/file/d/1iJo3Qp_RVyvd1PSWqaczN5g5pqRowgH3/view?usp=sharing,MusOpen,PD
II046,Strings,CELLO,Piano Accomp.,MEDIUM,,,,,Cello Sonata - 3 Finale,,Identify the solo instrument.,CELLO,,,,,https://drive.google.com/file/d/1YjslAhZsycwQSNkRPQcPDSeFgp5XHnRb/view?usp=sharing,MusOpen,PD
II047,Strings,CELLO,Piano Accomp.,MEDIUM,,,,,Cello Sonata - 3 Finale,,Identify the solo instrument.,CELLO,,,,,https://drive.google.com/file/d/1wsZrkYtf5xTSD3SVGyKZRcmwkqvY0fNc/view?usp=sharing,MusOpen,PD
II048,Strings,CELLO,Orchestral,MEDIUM,Elgar,20th Century,,E Minor,Cello Concerto Op. 85,,Identify the solo instrument.,CELLO,,,,,https://drive.google.com/file/d/1TLr7AA7paIztsmT2vZ-SSxDZyu1ooajv/view?usp=sharing,MusOpen,PD
II049,Strings,CELLO,Orchestral,HARD,Elgar,20th Century,,E Minor,Cello Concerto Op. 85,High Range,Identify the solo instrument.,CELLO,,,,,https://drive.google.com/file/d/1YUQrkWKhWtKnAAbKglDgtBokqT2qkU_f/view?usp=sharing,MusOpen,PD
II050,Strings,CELLO,Orchestral,MEDIUM,Elgar,20th Century,,E Minor,Cello Concerto Op. 85,,Identify the solo instrument.,CELLO,,,,,https://drive.google.com/file/d/14lRdZ3EyPZRUd49dh5NvMXWqOIyBjYJ7/view?usp=sharing,MusOpen,PD
II051,Strings,CELLO,Orchestral,MEDIUM,Elgar,20th Century,,E Minor,Cello Concerto Op. 85,,Identify the solo instrument.,CELLO,,,,,https://drive.google.com/file/d/1CYgKTwVFiYXX0x0xfsgVyQIjDysJAHIK/view?usp=sharing,MusOpen,PD
II052,Strings,CELLO,Orchestral,MEDIUM,Elgar,20th Century,,E Minor,Cello Concerto Op. 85,,Identify the solo instrument.,CELLO,,,,,https://drive.google.com/file/d/1SSjaIKKsNMkw0bT2-IZve_ZLGBpW-1nV/view?usp=sharing,MusOpen,PD
II053,Strings,CELLO,Piano Accomp.,HARD,Debussy,Romantic,,,Cello Sonata (2) Moderramente Anime,,Identify the solo instrument.,CELLO,,,Pizzicato,,https://drive.google.com/file/d/18uU7PwEajGsVaw_v2OsOStwV2KV1pXJh/view?usp=sharing,MusOpen,PD
II054,Strings,CELLO,Piano Accomp.,EASY,Debussy,Romantic,,,Cello Sonata (2) Moderramente Anime,,Identify the solo instrument.,CELLO,,,,,https://drive.google.com/file/d/18mr_RllGdyGaB8LdjUrxOXCP0bwMZM5O/view?usp=sharing,MusOpen,PD
II055,Strings,CELLO,Piano Accomp.,MEDIUM,Debussy,Romantic,,,Cello Sonata (2) Moderramente Anime,,Identify the solo instrument.,CELLO,,,,,https://drive.google.com/file/d/1HttMmdGJ4J3Gw3LG-J5EerNyIYonGpBM/view?usp=sharing,MusOpen,PD
II056,Strings,CELLO,Orchestral,HARD,Elgar,20th Century,,,Cello Concerto Op. 85 (4),,Identify the solo instrument.,CELLO,,,,,https://drive.google.com/file/d/1zvgbqbY5xFx1aZpz3dXu3NsYnEx8VYOM/view?usp=sharing,MusOpen,PD
II057,Strings,CELLO,Orchestral,MEDIUM,Elgar,20th Century,,,Cello Concerto Op. 85 (4),,Identify the solo instrument.,CELLO,,,,,https://drive.google.com/file/d/1iudhUGAdGZc7-0t90fhXtCYs6QdaMcHO/view?usp=sharing,MusOpen,PD
II058,Strings,CELLO,Orchestral,EASY,Elgar,20th Century,,,Cello Concerto Op. 85 (4),,Identify the solo instrument.,CELLO,,,,,https://drive.google.com/file/d/17lrGYMDtLWEU9gFgE-oBlaHdtING1bRh/view?usp=sharing,MusOpen,PD
II059,Strings,CELLO,Orchestral,EASY,Elgar,20th Century,,,Cello Concerto Op. 85 (4),,Identify the solo instrument.,CELLO,,,,,https://drive.google.com/file/d/1OH5MVUmjKFyB1YLs9k2nbJ6enT9roYXM/view?usp=sharing,MusOpen,PD
II060,Strings,CELLO,Orchestral,EASY,Elgar,20th Century,,,Cello Concerto Op. 85 (4),,Identify the solo instrument.,CELLO,,,,,https://drive.google.com/file/d/19dQqdv0ykQOHIWawT0AotxFcgLfYkfEW/view?usp=sharing,MusOpen,PD
II061,Strings,CELLO,Orchestral,EASY,Elgar,20th Century,,,Cello Concerto Op. 85 (4),,Identify the solo instrument.,CELLO,,,,,https://drive.google.com/file/d/13e5h_VF4woYjLgTjd2YIp8exdrgvJmRx/view?usp=sharing,MusOpen,PD
II062,Strings,CELLO,Piano Accomp.,EASY,Debussy,Romantic,,,Cello Sonata (2) Serenade,,Identify the solo instrument.,CELLO,,,,,https://drive.google.com/file/d/1Cq0-WubQoxqsGE25JV406vSFAwgX_M7_/view?usp=sharing,MusOpen,PD
II063,Strings,CELLO,Piano Accomp.,EASY,Debussy,Romantic,,,Cello Sonata (2) Serenade,,Identify the solo instrument.,CELLO,,,,,https://drive.google.com/file/d/1l4778klKmp_cMNXqyNvSg_1FseKDCQGb/view?usp=sharing,MusOpen,PD
II064,Strings,CELLO,Piano Accomp.,EASY,Debussy,Romantic,,,Cello Sonata (2) Serenade,,Identify the solo instrument.,CELLO,,,,,https://drive.google.com/file/d/1aculAfzQKxLPVpcVRMEJXZMYqR-OPxlf/view?usp=sharing,MusOpen,PD
II065,Strings,CELLO,Piano Accomp.,EASY,Debussy,Romantic,,,Cello Sonata (2) Serenade,,Identify the solo instrument.,CELLO,,,,,https://drive.google.com/file/d/1zED0SJnPvJMNgVGNRo0G4To9Foxaw4Mz/view?usp=sharing,MusOpen,PD
II066,Strings,CELLO,Orchestral,MEDIUM,Haydn,Classical,,D Major,Cello Concerto HOB VIId (1),,Identify the solo instrument.,CELLO,,,,,https://drive.google.com/file/d/13mZlVV74bmWV1dQ9NK7caWhlvaTBxnED/view?usp=sharing,MusOpen,PD
II067,Strings,CELLO,Orchestral,EASY,Haydn,Classical,,D Major,Cello Concerto HOB VIId (1),,Identify the solo instrument.,CELLO,,,,,https://drive.google.com/file/d/1eGqEpfhr0-MbS_fZxkXSEPa9OjZXHCcU/view?usp=sharing,MusOpen,PD
II068,Strings,CELLO,Orchestral,MEDIUM,Haydn,Classical,,D Major,Cello Concerto HOB VIId (1),,Identify the solo instrument.,CELLO,,,,,https://drive.google.com/file/d/12d4ZqqGwrc5kGZXKR9RrAOtVAgjQu1k6/view?usp=sharing,MusOpen,PD
II069,Strings,CELLO,Orchestral,MEDIUM,Haydn,Classical,,D Major,Cello Concerto HOB VIId (1),,Identify the solo instrument.,CELLO,,,,,https://drive.google.com/file/d/19up8JtZzyUmnWF-pRs_Q1g3Bge6Ee2Kd/view?usp=sharing,MusOpen,PD
II070,Strings,CELLO,Harpsichord,EASY,Vivaldi,Baroque,,,Sonata No. 5 (3),,Identify the solo instrument.,CELLO,,,,,https://drive.google.com/file/d/1vj0bQmy75haRasX0PBHGKT8KTHgBUJ0F/view?usp=sharing,MusOpen,PD
II071,Strings,CELLO,Harpsichord,EASY,Vivaldi,Baroque,,,Sonata No. 5 (3),,Identify the solo instrument.,CELLO,,,,,https://drive.google.com/file/d/1Al928lrDRLMCoFpiFddJNP4pbOuz482s/view?usp=sharing,MusOpen,PD
II072,Strings,CELLO,Solo,MEDIUM,Bach,Baroque,,C Major,Cello Suite No.3 (1),,Identify the instrument.,CELLO,,,Double Stop,,https://drive.google.com/file/d/13XVxDRUY4nOL6c5E0IuzuD053Vg-0QI7/view?usp=sharing,MusOpen,PD
II073,Strings,CELLO,Solo,MEDIUM,Bach,Baroque,,C Major,Cello Suite No.3 (1),,Identify the instrument.,CELLO,,,Double Stop,,https://drive.google.com/file/d/1PAUGIz8OyDnCh4eulu8nK0NsTF7v1_65/view?usp=sharing,MusOpen,PD
II074,Strings,CELLO,Solo,MEDIUM,Bach,Baroque,,C Major,Cello Suite No.3 (1),,Identify the instrument.,CELLO,,,Double Stop,,https://drive.google.com/file/d/1LUIOM0rnFeaL6NM8KHwsRyg1kFMEf1Iq/view?usp=sharing,MusOpen,PD
II075,Strings,CELLO,Orchestral,EASY,Chopin,Romantic,,G minor,Cello Sonata Op.65 (1),,Identify the solo instrument.,CELLO,,,,,https://drive.google.com/file/d/1U1vDHljrePV8BRReuV7YLGC1dPwXNNS1/view?usp=sharing,MusOpen,PD
II076,Strings,CELLO,Orchestral,EASY,Chopin,Romantic,,G minor,Cello Sonata Op.65 (1),,Identify the solo instrument.,CELLO,,,,,https://drive.google.com/file/d/1m4ShcosviRXONQYD_8UdE3Ie3hZTjFUZ/view?usp=sharing,MusOpen,PD
II077,Strings,CELLO,Orchestral,EASY,Chopin,Romantic,,G minor,Cello Sonata Op.65 (1),,Identify the solo instrument.,CELLO,,,,,https://drive.google.com/file/d/1DKKkd0nHzALXWO2YpiTa8Y4NmYav0YG8/view?usp=sharing,MusOpen,PD
II078,Strings,CELLO,Orchestral,EASY,Chopin,Baroque,,G minor,Cello Sonata Op.65 (1),,Identify the solo instrument.,CELLO,,,,,https://drive.google.com/file/d/1FBurqV8wWIP9Wui0A8YnNR_esLbggYwr/view?usp=sharing,MusOpen,PD
II079,Strings,CELLO,Solo,EASY,Bach,Baroque,,C Major,Cello Suite No.3 (4),,Identify the instrument.,CELLO,,,Double Stop,,https://drive.google.com/file/d/18Posc2dkGbf6rmYRbTlZgCnslJ8kRhRd/view?usp=sharing,MusOpen,PD
II080,Strings,CELLO,Solo,EASY,Bach,Baroque,,C Major,Cello Suite No.3 (4),,Identify the instrument.,CELLO,,,,,https://drive.google.com/file/d/1WjSJbRb2WK9sf3BEWjzcd_NbAv7tZqSw/view?usp=sharing,MusOpen,PD
II081,Strings,CELLO,Solo,EASY,Bach,Baroque,,C Major,Cello Suite No.3 (4),,Identify the instrument.,CELLO,,,Double Stop,,https://drive.google.com/file/d/1jnRAY8IzmaYGDDffgo7qj0y-BqcaibzP/view?usp=sharing,MusOpen,PD
II082,Strings,CELLO,Harpsichord,EASY,Vivaldi,Baroque,,,Sonata No. 5 (2),,Identify the solo instrument.,CELLO,,,,,https://drive.google.com/file/d/1u-foUDNijlu5NjKl2kXmUOW51NcbV51x/view?usp=sharing,MusOpen,PD
II083,Strings,CELLO,Harpsichord,EASY,Vivaldi,Baroque,,,Sonata No. 5 (2),,Identify the solo instrument.,CELLO,,,,,https://drive.google.com/file/d/16rJgWCoeipjq2BDJyC8N3tbjk1Vk-aml/view?usp=sharing,MusOpen,PD
II084,Strings,CELLO,Harpsichord,EASY,Vivaldi,Baroque,,,Sonata No. 5 (4),,Identify the solo instrument.,CELLO,,,,,https://drive.google.com/file/d/1Z8mb5v6HGjeI8JfFPdsCoNJncggCdfsb/view?usp=sharing,MusOpen,PD
II085,Strings,CELLO,Harpsichord,EASY,Vivaldi,Baroque,,,Sonata No. 5 (2),,Identify the solo instrument.,CELLO,,,,,https://drive.google.com/file/d/1l-p5HKsyc9ZQmyM0TZVqESWZJCglHkNY/view?usp=sharing,MusOpen,PD
II086,Strings,CELLO,Piano Accomp.,EASY,,,,,Cello Sonata Op.1 (2),,Identify the solo instrument.,CELLO,,,,,https://drive.google.com/file/d/1XosYou3GRciwwzeOwFDexloi5mvtkg_B/view?usp=sharing,MusOpen,PD
II087,Strings,CELLO,Piano Accomp.,EASY,,,,,Cello Sonata Op.1 (2),,Identify the solo instrument.,CELLO,,,,,https://drive.google.com/file/d/1RKAlze3OjXCqpohKLTxYGcp0dUP9bdAr/view?usp=sharing,MusOpen,PD
II088,Strings,CELLO,Piano Accomp.,EASY,,,,,Cello Sonata Op.1 (2),,Identify the solo instrument.,CELLO,,,,,https://drive.google.com/file/d/1swxFgwqGV4zJW3IFst4KdiEjdLTYpMGe/view?usp=sharing,MusOpen,PD
II089,Strings,CELLO,Piano Accomp.,EASY,,,,,Cello Sonata Op.1 (2),,Identify the solo instrument.,CELLO,,,,,https://drive.google.com/file/d/1bbXlFOnNUzfuMlEPPJJiJwcJAJY539CP/view?usp=sharing,MusOpen,PD
II090,Strings,CELLO,Piano Accomp.,EASY,Beethoven,Classical,,,Cello Sonata Op. 69 (3),,Identify the solo instrument.,CELLO,,,,,https://drive.google.com/file/d/10VQ4zX8zh74SP-e3HHSo65PJWsVfyEEO/view?usp=sharing,MusOpen,PD
II091,Strings,CELLO,Piano Accomp.,EASY,Beethoven,Classical,,,Cello Sonata Op. 69 (3),,Identify the solo instrument.,CELLO,,,,,https://drive.google.com/file/d/1Oip4fX8iwmLDfBtczpUgvS8yDQE4EaIt/view?usp=sharing,MusOpen,PD
II092,Strings,CELLO,Piano Accomp.,MEDIUM,Beethoven,Classical,,,Cello Sonata Op. 69 (3),,Identify the solo instrument.,CELLO,,,,,https://drive.google.com/file/d/1DNn8YkMOInptH8CYdGxHWEcoBrIrDyE5/view?usp=sharing,MusOpen,PD
II093,Strings,CELLO,Piano Accomp.,EASY,Beethoven,Classical,,,Cello Sonata Op. 69 (1),,Identify the solo instrument.,CELLO,,,,,https://drive.google.com/file/d/1TS1AXVNEbjJZXGelHoKT62HsvajvQ5_z/view?usp=sharing,MusOpen,PD
II094,Strings,CELLO,Piano Accomp.,EASY,Beethoven,Classical,,,Cello Sonata Op. 69 (1),,Identify the solo instrument.,CELLO,,,,,https://drive.google.com/file/d/1-QWne9hgwo0zBdjT2uZSsChKfLGkSTqE/view?usp=sharing,MusOpen,PD
II095,Strings,CELLO,Piano Accomp.,EASY,Beethoven,Classical,,,Cello Sonata Op. 69 (1),,Identify the solo instrument.,CELLO,,,,,https://drive.google.com/file/d/1ntbyygs1nCHtk10KeKfXR_HkYEJFpAF2/view?usp=sharing,MusOpen,PD
II096,Strings,CELLO,Piano Accomp.,EASY,Beethoven,Classical,,,Cello Sonata Op. 69 (1),,Identify the solo instrument.,CELLO,,,,,https://drive.google.com/file/d/1WZcvAWvYeJRvBVPSo_Z9cNNzpN23KXpd/view?usp=sharing,MusOpen,PD
II097,Strings,CELLO,Piano Accomp.,EASY,Beethoven,Classical,,,Cello Sonata Op. 69 (1),,Identify the solo instrument.,CELLO,,,,,https://drive.google.com/file/d/1xwMfqkK3nwIU7Q52LSZPWwcagIiMEQtz/view?usp=sharing,MusOpen,PD
II098,Strings,CELLO,Piano Accomp.,EASY,Chopin,Romantic,,G minor,Cello Sonata Op.65 (3),,Identify the solo instrument.,CELLO,,,,,https://drive.google.com/file/d/1EQc_P_b34p8CLnJ8JXvsVCSoRzd2l2Zh/view?usp=sharing,MusOpen,PD
II099,Strings,CELLO,Piano Accomp.,EASY,Chopin,Romantic,,G minor,Cello Sonata Op.65 (3),,Identify the solo instrument.,CELLO,,,,,https://drive.google.com/file/d/1pndjAiC5s4oVzVLpd4ZMI-xL61E4IukX/view?usp=sharing,MusOpen,PD
II100,Strings,CELLO,Piano Accomp.,EASY,Chopin,Romantic,,G minor,Cello Sonata Op.65 (3),,Identify the solo instrument.,CELLO,,,,,https://drive.google.com/file/d/1P3ujrO2OdFeXndIFIaiOIRuO0zlOqq0i/view?usp=sharing,MusOpen,PD
II101,Strings,CELLO,Solo,EASY,Bach,Baroque,,E flat Major,Suite No. 4 (3),,Identify the instrument.,CELLO,,,,,https://drive.google.com/file/d/13U7xy_uv_sIMLlwjp4PtWPiAbSXpebly/view?usp=sharing,MusOpen,PD
II102,Strings,CELLO,Solo,EASY,Bach,Baroque,,E flat Major,Suite No. 4 (3),,Identify the instrument.,CELLO,,,,,https://drive.google.com/file/d/1B2g7xdnqNyyp9lLEArVHy7f5nRIfWQ5q/view?usp=sharing,MusOpen,PD
