"New question ID","Original/source question ID","Level","Composer","Work","Movement","Audio source","Licence","Attribution","Audio filename/path","Question artwork filename/path","Answer artwork filename/path","Existing difficulty","Mode","Missing note count","Missing note positions","Missing pitches","Full answer sequence","Timing/playback metadata","Generation notes"
"MM006-F","MM006","Foundation","Chopin","Nocturne in B flat minor, Op. 9 no. 1","Extract 6","Musopen","PDM 1.0","Eduardo Viñuela","questions/mm006/MM006-audio.mp3","questions/mm006/MM006-F-question.png","questions/mm006/mm006-answer.png","easy","dictation","3","2, 3, 4","G5 F5 E5","F5 G5 F5 E5 C5 D5","{""guidedPlayback"":{""scoreCoverage"":""full-audio"",""useFullAudioDuration"":true,""visualStartSeconds"":0,""visualEndSeconds"":null,""visibleScoreRatio"":0.44,""leadInSeconds"":2,""notes"":""E = score PNG covers the full audio clip for guided Teacher Mode playback.""}}","Lead-in interval from slot 1 to slot 2 is included in the Foundation interval rule."
"MM006-D","MM006","Developing","Chopin","Nocturne in B flat minor, Op. 9 no. 1","Extract 6","Musopen","PDM 1.0","Eduardo Viñuela","questions/mm006/MM006-audio.mp3","questions/mm006/MM006-D-question.png","questions/mm006/mm006-answer.png","easy","dictation","5","2, 3, 4, 5, 6","G5 F5 E5 C5 D5","F5 G5 F5 E5 C5 D5","{""guidedPlayback"":{""scoreCoverage"":""full-audio"",""useFullAudioDuration"":true,""visualStartSeconds"":0,""visualEndSeconds"":null,""visibleScoreRatio"":0.44,""leadInSeconds"":2,""notes"":""E = score PNG covers the full audio clip for guided Teacher Mode playback.""}}","Lead-in interval from slot 1 to slot 2 is included in the Developing interval rule."
"MM006-S","MM006","Securing","Chopin","Nocturne in B flat minor, Op. 9 no. 1","Extract 6","Musopen","PDM 1.0","Eduardo Viñuela","questions/mm006/MM006-audio.mp3","questions/mm006/MM006-S-question.png","questions/mm006/mm006-answer.png","easy","dictation","5","2, 3, 4, 5, 6","G5 F5 E5 C5 D5","F5 G5 F5 E5 C5 D5","{""guidedPlayback"":{""scoreCoverage"":""full-audio"",""useFullAudioDuration"":true,""visualStartSeconds"":0,""visualEndSeconds"":null,""visibleScoreRatio"":0.44,""leadInSeconds"":2,""notes"":""E = score PNG covers the full audio clip for guided Teacher Mode playback.""}}","Lead-in interval from slot 1 to slot 2 is included in the Securing interval rule."
"MM006-M","MM006","Mastering","Chopin","Nocturne in B flat minor, Op. 9 no. 1","Extract 6","Musopen","PDM 1.0","Eduardo Viñuela","questions/mm006/MM006-audio.mp3","questions/mm006/mm006-question.png","questions/mm006/mm006-answer.png","easy","dictation","6","1, 2, 3, 4, 5, 6","F5 G5 F5 E5 C5 D5","F5 G5 F5 E5 C5 D5","{""guidedPlayback"":{""scoreCoverage"":""full-audio"",""useFullAudioDuration"":true,""visualStartSeconds"":0,""visualEndSeconds"":null,""visibleScoreRatio"":0.44,""leadInSeconds"":2,""notes"":""E = score PNG covers the full audio clip for guided Teacher Mode playback.""}}","Existing full-question Mastering artwork reused."
"MM007-F","MM007","Foundation","Clementi","Sonatina No. 1 in C major","III. Vivace","Musopen","PDM 1.0","Aaron Dunn","questions/mm007/MM007-audio.mp3","questions/mm007/MM007-F-question.png","questions/mm007/mm007-answer.png","medium","dictation","3","2, 3, 4","F5 E5 D5","G5 F5 E5 D5 F5 B4","{""guidedPlayback"":{""scoreCoverage"":""partial-audio"",""useFullAudioDuration"":false,""visualStartSeconds"":0,""visualEndSeconds"":7,""visibleScoreRatio"":0.44,""leadInSeconds"":2,""notes"":""Guided Teacher Mode scroll should complete at 7s because the score PNG excerpt ends there.""}}","Lead-in interval from slot 1 to slot 2 is included in the Foundation interval rule."
"MM007-D","MM007","Developing","Clementi","Sonatina No. 1 in C major","III. Vivace","Musopen","PDM 1.0","Aaron Dunn","questions/mm007/MM007-audio.mp3","questions/mm007/MM007-D-question.png","questions/mm007/mm007-answer.png","medium","dictation","4","2, 3, 4, 5","F5 E5 D5 F5","G5 F5 E5 D5 F5 B4","{""guidedPlayback"":{""scoreCoverage"":""partial-audio"",""useFullAudioDuration"":false,""visualStartSeconds"":0,""visualEndSeconds"":7,""visibleScoreRatio"":0.44,""leadInSeconds"":2,""notes"":""Guided Teacher Mode scroll should complete at 7s because the score PNG excerpt ends there.""}}","Lead-in interval from slot 1 to slot 2 is included in the Developing interval rule."
"MM007-S","MM007","Securing","Clementi","Sonatina No. 1 in C major","III. Vivace","Musopen","PDM 1.0","Aaron Dunn","questions/mm007/MM007-audio.mp3","questions/mm007/MM007-S-question.png","questions/mm007/mm007-answer.png","medium","dictation","4","2, 3, 4, 5","F5 E5 D5 F5","G5 F5 E5 D5 F5 B4","{""guidedPlayback"":{""scoreCoverage"":""partial-audio"",""useFullAudioDuration"":false,""visualStartSeconds"":0,""visualEndSeconds"":7,""visibleScoreRatio"":0.44,""leadInSeconds"":2,""notes"":""Guided Teacher Mode scroll should complete at 7s because the score PNG excerpt ends there.""}}","Lead-in interval from slot 1 to slot 2 is included in the Securing interval rule."
"MM007-M","MM007","Mastering","Clementi","Sonatina No. 1 in C major","III. Vivace","Musopen","PDM 1.0","Aaron Dunn","questions/mm007/MM007-audio.mp3","questions/mm007/mm007-question.png","questions/mm007/mm007-answer.png","medium","dictation","6","1, 2, 3, 4, 5, 6","G5 F5 E5 D5 F5 B4","G5 F5 E5 D5 F5 B4","{""guidedPlayback"":{""scoreCoverage"":""partial-audio"",""useFullAudioDuration"":false,""visualStartSeconds"":0,""visualEndSeconds"":7,""visibleScoreRatio"":0.44,""leadInSeconds"":2,""notes"":""Guided Teacher Mode scroll should complete at 7s because the score PNG excerpt ends there.""}}","Existing full-question Mastering artwork reused."
"MM009-D","MM009","Developing","Haydn","Cello Concerto no. 1 in C major, Hob. VIIb:1","I. Moderato","Musopen","CC BY 3.0","Aspen Symphony Orchestra","questions/mm009/MM009-audio.mp3","questions/mm009/MM009-D-question.png","questions/mm009/mm009-answer.png","easy","dictation","5","2, 3, 4, 5, 6","D5 C5 B4 A4 B4","C5 D5 C5 B4 A4 B4","{""guidedPlayback"":{""scoreCoverage"":""full-audio"",""useFullAudioDuration"":true,""visualStartSeconds"":0,""visualEndSeconds"":null,""visibleScoreRatio"":0.44,""leadInSeconds"":2,""notes"":""E = score PNG covers the full audio clip for guided Teacher Mode playback.""}}","Lead-in interval from slot 1 to slot 2 is included in the Developing interval rule."
"MM009-S","MM009","Securing","Haydn","Cello Concerto no. 1 in C major, Hob. VIIb:1","I. Moderato","Musopen","CC BY 3.0","Aspen Symphony Orchestra","questions/mm009/MM009-audio.mp3","questions/mm009/MM009-S-question.png","questions/mm009/mm009-answer.png","easy","dictation","5","2, 3, 4, 5, 6","D5 C5 B4 A4 B4","C5 D5 C5 B4 A4 B4","{""guidedPlayback"":{""scoreCoverage"":""full-audio"",""useFullAudioDuration"":true,""visualStartSeconds"":0,""visualEndSeconds"":null,""visibleScoreRatio"":0.44,""leadInSeconds"":2,""notes"":""E = score PNG covers the full audio clip for guided Teacher Mode playback.""}}","Lead-in interval from slot 1 to slot 2 is included in the Securing interval rule."
"MM009-M","MM009","Mastering","Haydn","Cello Concerto no. 1 in C major, Hob. VIIb:1","I. Moderato","Musopen","CC BY 3.0","Aspen Symphony Orchestra","questions/mm009/MM009-audio.mp3","questions/mm009/mm009-question.png","questions/mm009/mm009-answer.png","easy","dictation","6","1, 2, 3, 4, 5, 6","C5 D5 C5 B4 A4 B4","C5 D5 C5 B4 A4 B4","{""guidedPlayback"":{""scoreCoverage"":""full-audio"",""useFullAudioDuration"":true,""visualStartSeconds"":0,""visualEndSeconds"":null,""visibleScoreRatio"":0.44,""leadInSeconds"":2,""notes"":""E = score PNG covers the full audio clip for guided Teacher Mode playback.""}}","Existing full-question Mastering artwork reused."
"MM010-S","MM010","Securing","Mozart","Piano Sonata no. 11 in A major, K. 331","III. Alla Turca","Musopen","PDM 1.0","European Archive","questions/mm010/MM010-audio.mp3","questions/mm010/MM010-S-question.png","questions/mm010/mm010-answer.png","easy","dictation","5","2, 3, 4, 5, 6","C5 B4 C5 E5 F5","D5 C5 B4 C5 E5 F5","{""guidedPlayback"":{""scoreCoverage"":""partial-audio"",""useFullAudioDuration"":false,""visualStartSeconds"":0,""visualEndSeconds"":5,""visibleScoreRatio"":0.44,""leadInSeconds"":2,""notes"":""Guided Teacher Mode scroll should complete at 5s because the score PNG excerpt ends there.""}}","Lead-in interval from slot 1 to slot 2 is included in the Securing interval rule."
"MM010-M","MM010","Mastering","Mozart","Piano Sonata no. 11 in A major, K. 331","III. Alla Turca","Musopen","PDM 1.0","European Archive","questions/mm010/MM010-audio.mp3","questions/mm010/mm010-question.png","questions/mm010/mm010-answer.png","easy","dictation","6","1, 2, 3, 4, 5, 6","D5 C5 B4 C5 E5 F5","D5 C5 B4 C5 E5 F5","{""guidedPlayback"":{""scoreCoverage"":""partial-audio"",""useFullAudioDuration"":false,""visualStartSeconds"":0,""visualEndSeconds"":5,""visibleScoreRatio"":0.44,""leadInSeconds"":2,""notes"":""Guided Teacher Mode scroll should complete at 5s because the score PNG excerpt ends there.""}}","Existing full-question Mastering artwork reused."
"MM011-F","MM011","Foundation","Mozart","Piano Concerto no. 17 in G major, K. 453","III. Allegretto","Musopen","PDM 1.0","European Archive","questions/mm011/MM011-audio.mp3","questions/mm011/MM011-F-question.png","questions/mm011/mm011-answer.png","easy","dictation","3","2, 3, 4","A5 A5 B5","A5 A5 A5 B5 C6 A5","{""guidedPlayback"":{""scoreCoverage"":""full-audio"",""useFullAudioDuration"":true,""visualStartSeconds"":0,""visualEndSeconds"":null,""visibleScoreRatio"":0.44,""leadInSeconds"":2,""notes"":""E = score PNG covers the full audio clip for guided Teacher Mode playback.""}}","Lead-in interval from slot 1 to slot 2 is included in the Foundation interval rule."
"MM011-D","MM011","Developing","Mozart","Piano Concerto no. 17 in G major, K. 453","III. Allegretto","Musopen","PDM 1.0","European Archive","questions/mm011/MM011-audio.mp3","questions/mm011/MM011-D-question.png","questions/mm011/mm011-answer.png","easy","dictation","5","2, 3, 4, 5, 6","A5 A5 B5 C6 A5","A5 A5 A5 B5 C6 A5","{""guidedPlayback"":{""scoreCoverage"":""full-audio"",""useFullAudioDuration"":true,""visualStartSeconds"":0,""visualEndSeconds"":null,""visibleScoreRatio"":0.44,""leadInSeconds"":2,""notes"":""E = score PNG covers the full audio clip for guided Teacher Mode playback.""}}","Lead-in interval from slot 1 to slot 2 is included in the Developing interval rule."
"MM011-S","MM011","Securing","Mozart","Piano Concerto no. 17 in G major, K. 453","III. Allegretto","Musopen","PDM 1.0","European Archive","questions/mm011/MM011-audio.mp3","questions/mm011/MM011-S-question.png","questions/mm011/mm011-answer.png","easy","dictation","5","2, 3, 4, 5, 6","A5 A5 B5 C6 A5","A5 A5 A5 B5 C6 A5","{""guidedPlayback"":{""scoreCoverage"":""full-audio"",""useFullAudioDuration"":true,""visualStartSeconds"":0,""visualEndSeconds"":null,""visibleScoreRatio"":0.44,""leadInSeconds"":2,""notes"":""E = score PNG covers the full audio clip for guided Teacher Mode playback.""}}","Lead-in interval from slot 1 to slot 2 is included in the Securing interval rule."
"MM011-M","MM011","Mastering","Mozart","Piano Concerto no. 17 in G major, K. 453","III. Allegretto","Musopen","PDM 1.0","European Archive","questions/mm011/MM011-audio.mp3","questions/mm011/mm011-question.png","questions/mm011/mm011-answer.png","easy","dictation","6","1, 2, 3, 4, 5, 6","A5 A5 A5 B5 C6 A5","A5 A5 A5 B5 C6 A5","{""guidedPlayback"":{""scoreCoverage"":""full-audio"",""useFullAudioDuration"":true,""visualStartSeconds"":0,""visualEndSeconds"":null,""visibleScoreRatio"":0.44,""leadInSeconds"":2,""notes"":""E = score PNG covers the full audio clip for guided Teacher Mode playback.""}}","Existing full-question Mastering artwork reused."
"MM012-S","MM012","Securing","Mussorgsky","Pictures at an Exhibition","Extract 12","Musopen","CC BY 3.0","Chiara Bertoglio","questions/mm012/MM012-audio.mp3","questions/mm012/MM012-S-question.png","questions/mm012/mm012-answer.png","medium","dictation","5","2, 3, 4, 5, 6","C5 F5 D5 B4 C5","D5 C5 F5 D5 B4 C5","{""guidedPlayback"":{""scoreCoverage"":""full-audio"",""useFullAudioDuration"":true,""visualStartSeconds"":0,""visualEndSeconds"":null,""visibleScoreRatio"":0.44,""leadInSeconds"":2,""notes"":""E = score PNG covers the full audio clip for guided Teacher Mode playback.""}}","Lead-in interval from slot 1 to slot 2 is included in the Securing interval rule."
"MM012-M","MM012","Mastering","Mussorgsky","Pictures at an Exhibition","Extract 12","Musopen","CC BY 3.0","Chiara Bertoglio","questions/mm012/MM012-audio.mp3","questions/mm012/mm012-question.png","questions/mm012/mm012-answer.png","medium","dictation","6","1, 2, 3, 4, 5, 6","D5 C5 F5 D5 B4 C5","D5 C5 F5 D5 B4 C5","{""guidedPlayback"":{""scoreCoverage"":""full-audio"",""useFullAudioDuration"":true,""visualStartSeconds"":0,""visualEndSeconds"":null,""visibleScoreRatio"":0.44,""leadInSeconds"":2,""notes"":""E = score PNG covers the full audio clip for guided Teacher Mode playback.""}}","Existing full-question Mastering artwork reused."
"MM008-F","MM008","Foundation","Grieg","Peer Gynt Suite no. 1, Op. 46","I. Morning Mood","Musopen","PDM 1.0","Musopen Symphony","questions/mm008/MM008-audio.mp3","questions/mm008/MM008-F-question.png","questions/mm008/mm008-answer.png","easy","dictation","3","2, 3, 4","G5 F5 G5","F5 G5 F5 G5 B5 G5","{""guidedPlayback"":{""scoreCoverage"":""full-audio"",""useFullAudioDuration"":true,""visualStartSeconds"":0,""visualEndSeconds"":null,""visibleScoreRatio"":0.44,""leadInSeconds"":2,""notes"":""E = score PNG covers the full audio clip for guided Teacher Mode playback.""}}","Lead-in interval from slot 1 to slot 2 is included in the Foundation interval rule."
"MM008-D","MM008","Developing","Grieg","Peer Gynt Suite no. 1, Op. 46","I. Morning Mood","Musopen","PDM 1.0","Musopen Symphony","questions/mm008/MM008-audio.mp3","questions/mm008/MM008-D-question.png","questions/mm008/mm008-answer.png","easy","dictation","5","2, 3, 4, 5, 6","G5 F5 G5 B5 G5","F5 G5 F5 G5 B5 G5","{""guidedPlayback"":{""scoreCoverage"":""full-audio"",""useFullAudioDuration"":true,""visualStartSeconds"":0,""visualEndSeconds"":null,""visibleScoreRatio"":0.44,""leadInSeconds"":2,""notes"":""E = score PNG covers the full audio clip for guided Teacher Mode playback.""}}","Lead-in interval from slot 1 to slot 2 is included in the Developing interval rule."
"MM008-S","MM008","Securing","Grieg","Peer Gynt Suite no. 1, Op. 46","I. Morning Mood","Musopen","PDM 1.0","Musopen Symphony","questions/mm008/MM008-audio.mp3","questions/mm008/MM008-S-question.png","questions/mm008/mm008-answer.png","easy","dictation","5","2, 3, 4, 5, 6","G5 F5 G5 B5 G5","F5 G5 F5 G5 B5 G5","{""guidedPlayback"":{""scoreCoverage"":""full-audio"",""useFullAudioDuration"":true,""visualStartSeconds"":0,""visualEndSeconds"":null,""visibleScoreRatio"":0.44,""leadInSeconds"":2,""notes"":""E = score PNG covers the full audio clip for guided Teacher Mode playback.""}}","Lead-in interval from slot 1 to slot 2 is included in the Securing interval rule."
"MM008-M","MM008","Mastering","Grieg","Peer Gynt Suite no. 1, Op. 46","I. Morning Mood","Musopen","PDM 1.0","Musopen Symphony","questions/mm008/MM008-audio.mp3","questions/mm008/mm008-question.png","questions/mm008/mm008-answer.png","easy","dictation","6","1, 2, 3, 4, 5, 6","F5 G5 F5 G5 B5 G5","F5 G5 F5 G5 B5 G5","{""guidedPlayback"":{""scoreCoverage"":""full-audio"",""useFullAudioDuration"":true,""visualStartSeconds"":0,""visualEndSeconds"":null,""visibleScoreRatio"":0.44,""leadInSeconds"":2,""notes"":""E = score PNG covers the full audio clip for guided Teacher Mode playback.""}}","Existing full-question Mastering artwork reused."
"MM014-M","MM014","Mastering","Beethoven","Symphony no. 6 in F major, Op. 68 'Pastoral'","II. Andante molto mosso","Musopen","PDM 1.0","European Archive","questions/mm014/MM014-audio.mp3","questions/mm014/MM014-M-question.png","questions/mm014/mm014-answer.png","medium","dictation","5","1, 2, 3, 5, 6","G5 E5 C5 E5 C5","G5 E5 C5 G4 E5 C5","{""guidedPlayback"":{""scoreCoverage"":""partial-audio"",""useFullAudioDuration"":false,""visualStartSeconds"":0,""visualEndSeconds"":5,""visibleScoreRatio"":0.44,""leadInSeconds"":2,""notes"":""Guided Teacher Mode scroll should complete at 5s because the score PNG excerpt ends there.""}}","Large sixth retained with slot 4 visible as tonal/visual context."
"MM015-M","MM015","Mastering","Beethoven","Symphony no. 6 in F major, Op. 68 'Pastoral'","II. Andante molto mosso","Musopen","PDM 1.0","European Archive","questions/mm015/MM015-audio.mp3","questions/mm015/mm015-question.png","questions/mm015/mm015-answer.png","hard","dictation","6","1, 2, 3, 4, 5, 6","B4 D5 C5 C5 D5 F5","B4 D5 C5 C5 D5 F5","{""guidedPlayback"":{""scoreCoverage"":""partial-audio"",""useFullAudioDuration"":false,""visualStartSeconds"":0,""visualEndSeconds"":4,""visibleScoreRatio"":0.44,""leadInSeconds"":2,""notes"":""Guided Teacher Mode scroll should complete at 4s because the score PNG excerpt ends there.""}}","Existing full-question Mastering artwork reused."
"MM013-F","MM013","Foundation","Haydn","Symphony no. 94 in G major 'Surprise', Hob. I:94","II. Andante","Musopen","PDM 1.0","European Archive","questions/mm013/MM013-audio.mp3","questions/mm013/MM013-F-question.png","questions/mm013/mm013-answer.png","easy","dictation","2","4, 5","F4 F4","G4 G4 E4 F4 F4 D4","{""guidedPlayback"":{""scoreCoverage"":""full-audio"",""useFullAudioDuration"":true,""visualStartSeconds"":0,""visualEndSeconds"":null,""visibleScoreRatio"":0.44,""leadInSeconds"":2,""notes"":""E = score PNG covers the full audio clip for guided Teacher Mode playback.""}}","Lead-in interval from slot 3 to slot 4 is included in the Foundation interval rule."
"MM013-D","MM013","Developing","Haydn","Symphony no. 94 in G major 'Surprise', Hob. I:94","II. Andante","Musopen","PDM 1.0","European Archive","questions/mm013/MM013-audio.mp3","questions/mm013/MM013-D-question.png","questions/mm013/mm013-answer.png","easy","dictation","5","2, 3, 4, 5, 6","G4 E4 F4 F4 D4","G4 G4 E4 F4 F4 D4","{""guidedPlayback"":{""scoreCoverage"":""full-audio"",""useFullAudioDuration"":true,""visualStartSeconds"":0,""visualEndSeconds"":null,""visibleScoreRatio"":0.44,""leadInSeconds"":2,""notes"":""E = score PNG covers the full audio clip for guided Teacher Mode playback.""}}","Lead-in interval from slot 1 to slot 2 is included in the Developing interval rule."
"MM013-S","MM013","Securing","Haydn","Symphony no. 94 in G major 'Surprise', Hob. I:94","II. Andante","Musopen","PDM 1.0","European Archive","questions/mm013/MM013-audio.mp3","questions/mm013/MM013-S-question.png","questions/mm013/mm013-answer.png","easy","dictation","5","2, 3, 4, 5, 6","G4 E4 F4 F4 D4","G4 G4 E4 F4 F4 D4","{""guidedPlayback"":{""scoreCoverage"":""full-audio"",""useFullAudioDuration"":true,""visualStartSeconds"":0,""visualEndSeconds"":null,""visibleScoreRatio"":0.44,""leadInSeconds"":2,""notes"":""E = score PNG covers the full audio clip for guided Teacher Mode playback.""}}","Lead-in interval from slot 1 to slot 2 is included in the Securing interval rule."
"MM013-M","MM013","Mastering","Haydn","Symphony no. 94 in G major 'Surprise', Hob. I:94","II. Andante","Musopen","PDM 1.0","European Archive","questions/mm013/MM013-audio.mp3","questions/mm013/mm013-question.png","questions/mm013/mm013-answer.png","easy","dictation","6","1, 2, 3, 4, 5, 6","G4 G4 E4 F4 F4 D4","G4 G4 E4 F4 F4 D4","{""guidedPlayback"":{""scoreCoverage"":""full-audio"",""useFullAudioDuration"":true,""visualStartSeconds"":0,""visualEndSeconds"":null,""visibleScoreRatio"":0.44,""leadInSeconds"":2,""notes"":""E = score PNG covers the full audio clip for guided Teacher Mode playback.""}}","Existing full-question Mastering artwork reused."
