MTR ID,Composer,Work,Movement / Section,Time Signature,Audio Source Page,Direct Audio URL,Licence Type,Commercial Use OK?,Score Link,Score Rights,Audio Evidence Screenshot File,Score Evidence Screenshot File,Evidence Status,Release Readiness
MTR012,Antonín Dvořák,"String Quartet No. 12 in F major, Op. 96 ‘American’",IV. Finale,2/4,https://archive.org/details/MusopenCollectionAsFlac,https://archive.org/download/MusopenCollectionAsFlac/Dvorak_StringQuartetNo.12inFMajorOp.96/AntonnDvorak-StringQuartetNo.12InFMajorOp.96American-04-Finale-VivaceMaNonTroppo.mp3,Public Domain Mark 1.0 / Musopen public-domain recording collection,Yes,https://imslp.org/wiki/String_Quartet_No.12%2C_Op.96_%28Dvo%C5%99%C3%A1k%2C_Anton%C3%ADn%29,"Use a public-domain manuscript, first edition or historic full score shown as Public Domain on IMSLP. Do not substitute a modern copyrighted edition.",mtr012_audio_rights.png,mtr012_score_rights.png,Audio collection and score page verified; exact screenshots still to capture,Commercial OK after audio and score evidence screenshots are captured and checked
MTR013,Edvard Grieg,"Peer Gynt Suite No. 1, Op. 46",I. Morning Mood,6/8,https://archive.org/details/MusopenCollectionAsFlac,https://archive.org/download/MusopenCollectionAsFlac/Greig_PeerGynt/EdvardGrieg-PeerGyntSuiteNo.1Op.46-01-Morning.mp3,Public Domain Mark 1.0 / Musopen public-domain recording collection,Yes,https://imslp.org/wiki/Peer_Gynt_Suite_No.1%2C_Op.46_%28Grieg%2C_Edvard%29,"Use a public-domain manuscript, first edition or historic full score shown as Public Domain on IMSLP. Do not substitute a modern copyrighted edition.",mtr013_audio_rights.png,mtr013_score_rights.png,Audio collection and score page verified; exact screenshots still to capture,Commercial OK after audio and score evidence screenshots are captured and checked
MTR014,Edvard Grieg,"Peer Gynt Suite No. 1, Op. 46",II. The Death of Åse,4/4,https://archive.org/details/MusopenCollectionAsFlac,https://archive.org/download/MusopenCollectionAsFlac/Greig_PeerGynt/EdvardGrieg-PeerGyntSuiteNo.1Op.46-02-AasesDeath.mp3,Public Domain Mark 1.0 / Musopen public-domain recording collection,Yes,https://imslp.org/wiki/Peer_Gynt_Suite_No.1%2C_Op.46_%28Grieg%2C_Edvard%29,"Use a public-domain manuscript, first edition or historic full score shown as Public Domain on IMSLP. Do not substitute a modern copyrighted edition.",mtr014_audio_rights.png,mtr014_score_rights.png,Audio collection and score page verified; exact screenshots still to capture,Commercial OK after audio and score evidence screenshots are captured and checked
MTR015,Edvard Grieg,"Peer Gynt Suite No. 1, Op. 46",III. Anitra’s Dance,3/4,https://archive.org/details/MusopenCollectionAsFlac,https://archive.org/download/MusopenCollectionAsFlac/Greig_PeerGynt/EdvardGrieg-PeerGyntSuiteNo.1Op.46-03-AnitrasDream.mp3,Public Domain Mark 1.0 / Musopen public-domain recording collection,Yes,https://imslp.org/wiki/Peer_Gynt_Suite_No.1%2C_Op.46_%28Grieg%2C_Edvard%29,"Use a public-domain manuscript, first edition or historic full score shown as Public Domain on IMSLP. Do not substitute a modern copyrighted edition.",mtr015_audio_rights.png,mtr015_score_rights.png,Audio collection and score page verified; exact screenshots still to capture,Commercial OK after audio and score evidence screenshots are captured and checked
MTR016,Edvard Grieg,"Peer Gynt Suite No. 1, Op. 46",IV. In the Hall of the Mountain King,4/4,https://archive.org/details/MusopenCollectionAsFlac,https://archive.org/download/MusopenCollectionAsFlac/Greig_PeerGynt/EdvardGrieg-PeerGyntSuiteNo.1Op.46-04-InTheHallOfTheMountainKing.mp3,Public Domain Mark 1.0 / Musopen public-domain recording collection,Yes,https://imslp.org/wiki/Peer_Gynt_Suite_No.1%2C_Op.46_%28Grieg%2C_Edvard%29,"Use a public-domain manuscript, first edition or historic full score shown as Public Domain on IMSLP. Do not substitute a modern copyrighted edition.",mtr016_audio_rights.png,mtr016_score_rights.png,Audio collection and score page verified; exact screenshots still to capture,Commercial OK after audio and score evidence screenshots are captured and checked
MTR017,Joseph Haydn,"String Quartet in D major, Hob.III:63, Op.64 No.5 ‘The Lark’",I. Allegro moderato,2/2,https://archive.org/details/MusopenCollectionAsFlac,https://archive.org/download/MusopenCollectionAsFlac/Haydn_StringQuartetInDMajorOp.64/JosephHaydn-StringQuartetInDOp.645H363Lark-01-AllegroModerato.mp3,Public Domain Mark 1.0 / Musopen public-domain recording collection,Yes,https://imslp.org/wiki/String_Quartet_in_D_major%2C_Hob.III%3A63_%28Haydn%2C_Joseph%29,"Use a public-domain manuscript, first edition or historic full score shown as Public Domain on IMSLP. Do not substitute a modern copyrighted edition.",mtr017_audio_rights.png,mtr017_score_rights.png,Audio collection and score page verified; exact screenshots still to capture,Commercial OK after audio and score evidence screenshots are captured and checked
MTR018,Joseph Haydn,"String Quartet in D major, Hob.III:63, Op.64 No.5 ‘The Lark’",II. Adagio cantabile,3/4,https://archive.org/details/MusopenCollectionAsFlac,https://archive.org/download/MusopenCollectionAsFlac/Haydn_StringQuartetInDMajorOp.64/JosephHaydn-StringQuartetInDOp.645H363Lark-02-AdagioCantabile.mp3,Public Domain Mark 1.0 / Musopen public-domain recording collection,Yes,https://imslp.org/wiki/String_Quartet_in_D_major%2C_Hob.III%3A63_%28Haydn%2C_Joseph%29,"Use a public-domain manuscript, first edition or historic full score shown as Public Domain on IMSLP. Do not substitute a modern copyrighted edition.",mtr018_audio_rights.png,mtr018_score_rights.png,Audio collection and score page verified; exact screenshots still to capture,Commercial OK after audio and score evidence screenshots are captured and checked
MTR019,Joseph Haydn,"String Quartet in D major, Hob.III:63, Op.64 No.5 ‘The Lark’",III. Menuetto,3/4,https://archive.org/details/MusopenCollectionAsFlac,https://archive.org/download/MusopenCollectionAsFlac/Haydn_StringQuartetInDMajorOp.64/JosephHaydn-StringQuartetInDOp.645H363Lark-03-MenuettoAllegretto.mp3,Public Domain Mark 1.0 / Musopen public-domain recording collection,Yes,https://imslp.org/wiki/String_Quartet_in_D_major%2C_Hob.III%3A63_%28Haydn%2C_Joseph%29,"Use a public-domain manuscript, first edition or historic full score shown as Public Domain on IMSLP. Do not substitute a modern copyrighted edition.",mtr019_audio_rights.png,mtr019_score_rights.png,Audio collection and score page verified; exact screenshots still to capture,Commercial OK after audio and score evidence screenshots are captured and checked
MTR020,Joseph Haydn,"String Quartet in D major, Hob.III:63, Op.64 No.5 ‘The Lark’",IV. Finale,2/4,https://archive.org/details/MusopenCollectionAsFlac,https://archive.org/download/MusopenCollectionAsFlac/Haydn_StringQuartetInDMajorOp.64/JosephHaydn-StringQuartetInDOp.645H363Lark-04-FinaleVivace.mp3,Public Domain Mark 1.0 / Musopen public-domain recording collection,Yes,https://imslp.org/wiki/String_Quartet_in_D_major%2C_Hob.III%3A63_%28Haydn%2C_Joseph%29,"Use a public-domain manuscript, first edition or historic full score shown as Public Domain on IMSLP. Do not substitute a modern copyrighted edition.",mtr020_audio_rights.png,mtr020_score_rights.png,Audio collection and score page verified; exact screenshots still to capture,Commercial OK after audio and score evidence screenshots are captured and checked
MTR021,Felix Mendelssohn,"Symphony No. 4 in A major, Op. 90 ‘Italian’",I. Allegro vivace,6/8,https://archive.org/details/MusopenCollectionAsFlac,https://archive.org/download/MusopenCollectionAsFlac/Mendelssohn_ItalianSymphony/FelixMendelssohn-SymphonyNo.4InAMajorOp.90italian-01-AllegroVivace.mp3,Public Domain Mark 1.0 / Musopen public-domain recording collection,Yes,https://imslp.org/wiki/Symphony_No.4%2C_Op.90_%28Mendelssohn%2C_Felix%29,"Use a public-domain manuscript, first edition or historic full score shown as Public Domain on IMSLP. Do not substitute a modern copyrighted edition.",mtr021_audio_rights.png,mtr021_score_rights.png,Audio collection and score page verified; exact screenshots still to capture,Commercial OK after audio and score evidence screenshots are captured and checked
MTR022,Felix Mendelssohn,"Symphony No. 4 in A major, Op. 90 ‘Italian’",II. Andante con moto,4/4,https://archive.org/details/MusopenCollectionAsFlac,https://archive.org/download/MusopenCollectionAsFlac/Mendelssohn_ItalianSymphony/FelixMendelssohn-SymphonyNo.4InAMajorOp.90italian-02-AndanteConMoto.mp3,Public Domain Mark 1.0 / Musopen public-domain recording collection,Yes,https://imslp.org/wiki/Symphony_No.4%2C_Op.90_%28Mendelssohn%2C_Felix%29,"Use a public-domain manuscript, first edition or historic full score shown as Public Domain on IMSLP. Do not substitute a modern copyrighted edition.",mtr022_audio_rights.png,mtr022_score_rights.png,Audio collection and score page verified; exact screenshots still to capture,Commercial OK after audio and score evidence screenshots are captured and checked
MTR023,Felix Mendelssohn,"Symphony No. 4 in A major, Op. 90 ‘Italian’",III. Con moto moderato,3/4,https://archive.org/details/MusopenCollectionAsFlac,https://archive.org/download/MusopenCollectionAsFlac/Mendelssohn_ItalianSymphony/FelixMendelssohn-SymphonyNo.4InAMajorOp.90italian-03-ConMotoModerato.mp3,Public Domain Mark 1.0 / Musopen public-domain recording collection,Yes,https://imslp.org/wiki/Symphony_No.4%2C_Op.90_%28Mendelssohn%2C_Felix%29,"Use a public-domain manuscript, first edition or historic full score shown as Public Domain on IMSLP. Do not substitute a modern copyrighted edition.",mtr023_audio_rights.png,mtr023_score_rights.png,Audio collection and score page verified; exact screenshots still to capture,Commercial OK after audio and score evidence screenshots are captured and checked
MTR024,Felix Mendelssohn,"Symphony No. 4 in A major, Op. 90 ‘Italian’",IV. Saltarello: Presto,4/4,https://archive.org/details/MusopenCollectionAsFlac,https://archive.org/download/MusopenCollectionAsFlac/Mendelssohn_ItalianSymphony/FelixMendelssohn-SymphonyNo.4InAMajorOp.90italian-04-Saltarellopresto.mp3,Public Domain Mark 1.0 / Musopen public-domain recording collection,Yes,https://imslp.org/wiki/Symphony_No.4%2C_Op.90_%28Mendelssohn%2C_Felix%29,"Use a public-domain manuscript, first edition or historic full score shown as Public Domain on IMSLP. Do not substitute a modern copyrighted edition.",mtr024_audio_rights.png,mtr024_score_rights.png,Audio collection and score page verified; exact screenshots still to capture,Commercial OK after audio and score evidence screenshots are captured and checked
MTR025,W. A. Mozart,"Symphony No. 40 in G minor, K.550",I. Molto allegro,2/2,https://archive.org/details/MusopenCollectionAsFlac,https://archive.org/download/MusopenCollectionAsFlac/Mozart_SymphonyNo.40inGMinor/WolfgangAmadeusMozart-SymphonyNo.40InGMinorK.550-01-MoltoAllegro.mp3,Public Domain Mark 1.0 / Musopen public-domain recording collection,Yes,https://imslp.org/wiki/Symphony_No.40_in_G_minor%2C_K.550_%28Mozart%2C_Wolfgang_Amadeus%29,"Use a public-domain manuscript, first edition or historic full score shown as Public Domain on IMSLP. Do not substitute a modern copyrighted edition.",mtr025_audio_rights.png,mtr025_score_rights.png,Audio collection and score page verified; exact screenshots still to capture,Commercial OK after audio and score evidence screenshots are captured and checked
MTR026,W. A. Mozart,"Symphony No. 40 in G minor, K.550",II. Andante,6/8,https://archive.org/details/MusopenCollectionAsFlac,https://archive.org/download/MusopenCollectionAsFlac/Mozart_SymphonyNo.40inGMinor/WolfgangAmadeusMozart-SymphonyNo.40InGMinorK.550-02-Andante.mp3,Public Domain Mark 1.0 / Musopen public-domain recording collection,Yes,https://imslp.org/wiki/Symphony_No.40_in_G_minor%2C_K.550_%28Mozart%2C_Wolfgang_Amadeus%29,"Use a public-domain manuscript, first edition or historic full score shown as Public Domain on IMSLP. Do not substitute a modern copyrighted edition.",mtr026_audio_rights.png,mtr026_score_rights.png,Audio collection and score page verified; exact screenshots still to capture,Commercial OK after audio and score evidence screenshots are captured and checked
MTR027,W. A. Mozart,"Symphony No. 40 in G minor, K.550",III. Menuetto,3/4,https://archive.org/details/MusopenCollectionAsFlac,https://archive.org/download/MusopenCollectionAsFlac/Mozart_SymphonyNo.40inGMinor/WolfgangAmadeusMozart-SymphonyNo.40InGMinorK.550-03-MenuettoAllegretto.mp3,Public Domain Mark 1.0 / Musopen public-domain recording collection,Yes,https://imslp.org/wiki/Symphony_No.40_in_G_minor%2C_K.550_%28Mozart%2C_Wolfgang_Amadeus%29,"Use a public-domain manuscript, first edition or historic full score shown as Public Domain on IMSLP. Do not substitute a modern copyrighted edition.",mtr027_audio_rights.png,mtr027_score_rights.png,Audio collection and score page verified; exact screenshots still to capture,Commercial OK after audio and score evidence screenshots are captured and checked
MTR028,W. A. Mozart,"Symphony No. 40 in G minor, K.550",IV. Allegro assai,2/2,https://archive.org/details/MusopenCollectionAsFlac,https://archive.org/download/MusopenCollectionAsFlac/Mozart_SymphonyNo.40inGMinor/WolfgangAmadeusMozart-SymphonyNo.40InGMinorK.550-04-AllegroAssai.mp3,Public Domain Mark 1.0 / Musopen public-domain recording collection,Yes,https://imslp.org/wiki/Symphony_No.40_in_G_minor%2C_K.550_%28Mozart%2C_Wolfgang_Amadeus%29,"Use a public-domain manuscript, first edition or historic full score shown as Public Domain on IMSLP. Do not substitute a modern copyrighted edition.",mtr028_audio_rights.png,mtr028_score_rights.png,Audio collection and score page verified; exact screenshots still to capture,Commercial OK after audio and score evidence screenshots are captured and checked
MTR029,Pyotr Ilyich Tchaikovsky,"Symphony No. 6 in B minor, Op. 74 ‘Pathétique’",II. Allegro con grazia,5/4,https://archive.org/details/MusopenCollectionAsFlac,https://archive.org/download/MusopenCollectionAsFlac/Tchaikovsky_SymphonyPathetique/PyotrIlyichTchaikovsky-SymphonyNo.6InBMinorOp.74pathtique-02-AllegroConGracia.mp3,Public Domain Mark 1.0 / Musopen public-domain recording collection,Yes,https://imslp.org/wiki/Symphony_No.6%2C_Op.74_%28Tchaikovsky%2C_Pyotr%29,"Use a public-domain manuscript, first edition or historic full score shown as Public Domain on IMSLP. Do not substitute a modern copyrighted edition.",mtr029_audio_rights.png,mtr029_score_rights.png,Audio collection and score page verified; exact screenshots still to capture,Commercial OK after audio and score evidence screenshots are captured and checked
MTR030,Pyotr Ilyich Tchaikovsky,"Symphony No. 6 in B minor, Op. 74 ‘Pathétique’",III. Allegro molto vivace,12/8,https://archive.org/details/MusopenCollectionAsFlac,https://archive.org/download/MusopenCollectionAsFlac/Tchaikovsky_SymphonyPathetique/PyotrIlyichTchaikovsky-SymphonyNo.6InBMinorOp.74pathtique-03-AllegroMoltoVivace.mp3,Public Domain Mark 1.0 / Musopen public-domain recording collection,Yes,https://imslp.org/wiki/Symphony_No.6%2C_Op.74_%28Tchaikovsky%2C_Pyotr%29,"Use a public-domain manuscript, first edition or historic full score shown as Public Domain on IMSLP. Do not substitute a modern copyrighted edition.",mtr030_audio_rights.png,mtr030_score_rights.png,Audio collection and score page verified; exact screenshots still to capture,Commercial OK after audio and score evidence screenshots are captured and checked
