clip_id,title_work,composer_creator,performer,source_collection,source_url,licence,evidence_status,local_audio_file,clip_start_seconds,duration_seconds,notes
TT020,"The Well-Tempered Clavier, Book I: Fugue No. 2 in C minor, BWV 847",J. S. Bach,Kimiko Ishizaka,Wikimedia Commons / source credited on file page,"https://commons.wikimedia.org/wiki/File:Kimiko_Ishizaka_-_Bach_-_Well-Tempered_Clavier,_Book_1_-_04_Fugue_No._2_in_C_minor,_BWV_847.ogg",CC0 1.0,Evidence file: tt020_rights_source.png,audio/TT020.mp3,0,20,Recording performed by Kimiko Ishizaka and released under CC0 1.0 through the Open Well-Tempered Clavier project. Credit is still recommended in EchoAural's source record.
TT021,"The Well-Tempered Clavier, Book I: Fugue No. 3 in C-sharp major, BWV 848",J. S. Bach,Kimiko Ishizaka,Wikimedia Commons / source credited on file page,"https://commons.wikimedia.org/wiki/File:Kimiko_Ishizaka_-_Bach_-_Well-Tempered_Clavier,_Book_1_-_06_Fugue_No._3_in_C-sharp_major,_BWV_848.ogg",CC0 1.0,Evidence file: tt021_rights_source.png,audio/TT021.mp3,0,20,Recording performed by Kimiko Ishizaka and released under CC0 1.0 through the Open Well-Tempered Clavier project. Credit is still recommended in EchoAural's source record.
TT022,"The Well-Tempered Clavier, Book I: Fugue No. 4 in C-sharp minor, BWV 849",J. S. Bach,Kimiko Ishizaka,Wikimedia Commons / source credited on file page,"https://commons.wikimedia.org/wiki/File:Kimiko_Ishizaka_-_Bach_-_Well-Tempered_Clavier,_Book_1_-_08_Fugue_No._4_in_C-sharp_minor,_BWV_849.ogg",CC0 1.0,Evidence file: tt022_rights_source.png,audio/TT022.mp3,0,20,Recording performed by Kimiko Ishizaka and released under CC0 1.0 through the Open Well-Tempered Clavier project. Credit is still recommended in EchoAural's source record.
TT023,"The Well-Tempered Clavier, Book I: Fugue No. 6 in D minor, BWV 851",J. S. Bach,Kimiko Ishizaka,Wikimedia Commons / source credited on file page,"https://commons.wikimedia.org/wiki/File:Kimiko_Ishizaka_-_Bach_-_Well-Tempered_Clavier,_Book_1_-_12_Fugue_No._6_in_D_minor,_BWV_851.ogg",CC0 1.0,Evidence file: tt023_rights_source.png,audio/TT023.mp3,0,20,Recording performed by Kimiko Ishizaka and released under CC0 1.0 through the Open Well-Tempered Clavier project. Credit is still recommended in EchoAural's source record.
TT024,"The Well-Tempered Clavier, Book I: Fugue No. 7 in E-flat major, BWV 852",J. S. Bach,Kimiko Ishizaka,Wikimedia Commons / source credited on file page,"https://commons.wikimedia.org/wiki/File:Kimiko_Ishizaka_-_Bach_-_Well-Tempered_Clavier,_Book_1_-_14_Fugue_No._7_in_E-flat_major,_BWV_852.ogg",CC0 1.0,Evidence file: tt024_rights_source.png,audio/TT024.mp3,0,20,Recording performed by Kimiko Ishizaka and released under CC0 1.0 through the Open Well-Tempered Clavier project. Credit is still recommended in EchoAural's source record.
TT025,"The Well-Tempered Clavier, Book I: Fugue No. 8 in D-sharp minor, BWV 853",J. S. Bach,Kimiko Ishizaka,Wikimedia Commons / source credited on file page,"https://commons.wikimedia.org/wiki/File:Kimiko_Ishizaka_-_Bach_-_Well-Tempered_Clavier,_Book_1_-_16_Fugue_No._8_in_D-sharp_minor,_BWV_853.ogg",CC0 1.0,Evidence file: tt025_rights_source.png,audio/TT025.mp3,0,20,Recording performed by Kimiko Ishizaka and released under CC0 1.0 through the Open Well-Tempered Clavier project. Credit is still recommended in EchoAural's source record.
TT026,"The Well-Tempered Clavier, Book I: Fugue No. 9 in E major, BWV 854",J. S. Bach,Kimiko Ishizaka,Wikimedia Commons / source credited on file page,"https://commons.wikimedia.org/wiki/File:Kimiko_Ishizaka_-_Bach_-_Well-Tempered_Clavier,_Book_1_-_18_Fugue_No._9_in_E_major,_BWV_854.ogg",CC0 1.0,Evidence file: tt026_rights_source.png,audio/TT026.mp3,0,20,Recording performed by Kimiko Ishizaka and released under CC0 1.0 through the Open Well-Tempered Clavier project. Credit is still recommended in EchoAural's source record.
TT027,"The Well-Tempered Clavier, Book I: Fugue No. 10 in E minor, BWV 855",J. S. Bach,Kimiko Ishizaka,Wikimedia Commons / source credited on file page,"https://commons.wikimedia.org/wiki/File:Kimiko_Ishizaka_-_Bach_-_Well-Tempered_Clavier,_Book_1_-_20_Fugue_No._10_in_E_minor,_BWV_855.ogg",CC0 1.0,Evidence file: tt027_rights_source.png,audio/TT027.mp3,0,20,Recording performed by Kimiko Ishizaka and released under CC0 1.0 through the Open Well-Tempered Clavier project. Credit is still recommended in EchoAural's source record.
TT028,"The Well-Tempered Clavier, Book I: Fugue No. 11 in F major, BWV 856",J. S. Bach,Kimiko Ishizaka,Wikimedia Commons / source credited on file page,"https://commons.wikimedia.org/wiki/File:Kimiko_Ishizaka_-_Bach_-_Well-Tempered_Clavier,_Book_1_-_22_Fugue_No._11_in_F_major,_BWV_856.ogg",CC0 1.0,Evidence file: tt028_rights_source.png,audio/TT028.mp3,0,20,Recording performed by Kimiko Ishizaka and released under CC0 1.0 through the Open Well-Tempered Clavier project. Credit is still recommended in EchoAural's source record.
TT029,"The Well-Tempered Clavier, Book I: Fugue No. 12 in F minor, BWV 857",J. S. Bach,Kimiko Ishizaka,Wikimedia Commons / source credited on file page,"https://commons.wikimedia.org/wiki/File:Kimiko_Ishizaka_-_Bach_-_Well-Tempered_Clavier,_Book_1_-_24_Fugue_No._12_in_F_minor,_BWV_857.ogg",CC0 1.0,Evidence file: tt029_rights_source.png,audio/TT029.mp3,0,20,Recording performed by Kimiko Ishizaka and released under CC0 1.0 through the Open Well-Tempered Clavier project. Credit is still recommended in EchoAural's source record.
TT030,"The Well-Tempered Clavier, Book I: Fugue No. 13 in F-sharp major, BWV 858",J. S. Bach,Kimiko Ishizaka,Wikimedia Commons / source credited on file page,"https://commons.wikimedia.org/wiki/File:Kimiko_Ishizaka_-_Bach_-_Well-Tempered_Clavier,_Book_1_-_26_Fugue_No._13_in_F-sharp_major,_BWV_858.ogg",CC0 1.0,Evidence file: tt030_rights_source.png,audio/TT030.mp3,0,20,Recording performed by Kimiko Ishizaka and released under CC0 1.0 through the Open Well-Tempered Clavier project. Credit is still recommended in EchoAural's source record.
TT032,"The Well-Tempered Clavier, Book I: Fugue No. 15 in G major, BWV 860",J. S. Bach,Kimiko Ishizaka,Wikimedia Commons / source credited on file page,"https://commons.wikimedia.org/wiki/File:Kimiko_Ishizaka_-_Bach_-_Well-Tempered_Clavier,_Book_1_-_30_Fugue_No._15_in_G_major,_BWV_860.ogg",CC0 1.0,Evidence file: tt032_rights_source.png,audio/TT032.mp3,0,20,Recording performed by Kimiko Ishizaka and released under CC0 1.0 through the Open Well-Tempered Clavier project. Credit is still recommended in EchoAural's source record.
TT033,"The Well-Tempered Clavier, Book I: Fugue No. 16 in G minor, BWV 861",J. S. Bach,Kimiko Ishizaka,Wikimedia Commons / source credited on file page,"https://commons.wikimedia.org/wiki/File:Kimiko_Ishizaka_-_Bach_-_Well-Tempered_Clavier,_Book_1_-_32_Fugue_No._16_in_G_minor,_BWV_861.ogg",CC0 1.0,Evidence file: tt033_rights_source.png,audio/TT033.mp3,0,20,Recording performed by Kimiko Ishizaka and released under CC0 1.0 through the Open Well-Tempered Clavier project. Credit is still recommended in EchoAural's source record.
TT034,"The Well-Tempered Clavier, Book I: Fugue No. 17 in A-flat major, BWV 862",J. S. Bach,Kimiko Ishizaka,Wikimedia Commons / source credited on file page,"https://commons.wikimedia.org/wiki/File:Kimiko_Ishizaka_-_Bach_-_Well-Tempered_Clavier,_Book_1_-_34_Fugue_No._17_in_A-flat_major,_BWV_862.ogg",CC0 1.0,Evidence file: tt034_rights_source.png,audio/TT034.mp3,0,20,Recording performed by Kimiko Ishizaka and released under CC0 1.0 through the Open Well-Tempered Clavier project. Credit is still recommended in EchoAural's source record.
TT035,"The Well-Tempered Clavier, Book I: Fugue No. 18 in G-sharp minor, BWV 863",J. S. Bach,Kimiko Ishizaka,Wikimedia Commons / source credited on file page,"https://commons.wikimedia.org/wiki/File:Kimiko_Ishizaka_-_Bach_-_Well-Tempered_Clavier,_Book_1_-_36_Fugue_No._18_in_G-sharp_minor,_BWV_863.ogg",CC0 1.0,Evidence file: tt035_rights_source.png,audio/TT035.mp3,0,20,Recording performed by Kimiko Ishizaka and released under CC0 1.0 through the Open Well-Tempered Clavier project. Credit is still recommended in EchoAural's source record.
TT036,"The Well-Tempered Clavier, Book I: Fugue No. 19 in A major, BWV 864",J. S. Bach,Kimiko Ishizaka,Wikimedia Commons / source credited on file page,"https://commons.wikimedia.org/wiki/File:Kimiko_Ishizaka_-_Bach_-_Well-Tempered_Clavier,_Book_1_-_38_Fugue_No._19_in_A_major,_BWV_864.ogg",CC0 1.0,Evidence file: tt036_rights_source.png,audio/TT036.mp3,0,20,Recording performed by Kimiko Ishizaka and released under CC0 1.0 through the Open Well-Tempered Clavier project. Credit is still recommended in EchoAural's source record.
TT037,"Messiah, HWV 56, 1. Sinfony",G. F. Handel,MIT Concert Choir; directed by William C. Cutter,Wikimedia Commons / source credited on file page,https://commons.wikimedia.org/wiki/File:Handel_-_messiah_-_01_sinfony.ogg,CC BY-SA 2.0,Evidence file: tt037_rights_source.png,audio/TT037.mp3,80,20,"Commercial reuse is permitted with attribution, a licence link, notice of editing, and share-alike treatment of the adapted audio excerpt."
TT039,,,,,,,NO LIVE QUESTION — audio file present but not wired to any approved question; rights not researched,audio/TT039.mp3,,,Orphaned file — verify before use
TT041,"Messiah, HWV 56, 24. Surely He Hath Borne Our Griefs",G. F. Handel,MIT Concert Choir; directed by William C. Cutter,Wikimedia Commons / source credited on file page,https://commons.wikimedia.org/wiki/File:Handel_-_messiah_-_24_surely_he_hath_borne_our_griefs.ogg,CC BY-SA 2.0,Evidence file: tt041_rights_source.png,audio/TT041.mp3,0,20,"Commercial reuse is permitted with attribution, a licence link, notice of editing, and share-alike treatment of the adapted audio excerpt."
TT042,"Messiah, HWV 56, 28. He Trusted in God",G. F. Handel,MIT Concert Choir; directed by William C. Cutter,Wikimedia Commons / source credited on file page,https://commons.wikimedia.org/wiki/File:Handel_-_messiah_-_28_he_trusted_in_god.ogg,CC BY-SA 2.0,Evidence file: tt042_rights_source.png,audio/TT042.mp3,0,20,"Commercial reuse is permitted with attribution, a licence link, notice of editing, and share-alike treatment of the adapted audio excerpt."
TT043,"Messiah, HWV 56, 37. The Lord Gave the Word",G. F. Handel,MIT Concert Choir; directed by William C. Cutter,Wikimedia Commons / source credited on file page,https://commons.wikimedia.org/wiki/File:Handel_-_messiah_-_37_the_lord_gave_the_word.ogg,CC BY-SA 2.0,Evidence file: tt043_rights_source.png,audio/TT043.mp3,0,20,"Commercial reuse is permitted with attribution, a licence link, notice of editing, and share-alike treatment of the adapted audio excerpt."
TT044,"Messiah, HWV 56, 44. Hallelujah",G. F. Handel,MIT Concert Choir; directed by William C. Cutter,Wikimedia Commons / source credited on file page,https://commons.wikimedia.org/wiki/File:Handel_-_messiah_-_44_hallelujah.ogg,CC BY-SA 2.0,Evidence file: tt044_rights_source.png,audio/TT044.mp3,0,20,"Commercial reuse is permitted with attribution, a licence link, notice of editing, and share-alike treatment of the adapted audio excerpt."
TT046,"Peer Gynt Suite No. 1, Op. 46: In the Hall of the Mountain King",Edvard Grieg,Musopen Symphony Orchestra,Wikimedia Commons / source credited on file page,https://commons.wikimedia.org/wiki/File:Musopen_-_In_the_Hall_Of_The_Mountain_King.ogg,Public domain dedication,Evidence file: tt046_rights_source.png,audio/TT046.mp3,20,20,The Commons page states that Musopen released the recording into the public domain worldwide.
TT047,"Toccata and Fugue in D minor, BWV 565: Toccata opening",J. S. Bach,Kevin MacLeod,Wikimedia Commons / source credited on file page,https://commons.wikimedia.org/wiki/File:Toccata_and_Fugue_in_D_Minor_(ISRC_USUAN1100350).mp3,CC BY 3.0,Evidence file: tt047_rights_source.png,audio/TT047.mp3,0,20,"Attribute: Toccata and Fugue in D Minor, Kevin MacLeod (incompetech.com), licensed under CC BY 3.0; note that the file has been edited into an excerpt."
TT048,"The Art of Fugue, BWV 1080: Contrapunctus I",J. S. Bach,MIDI-derived rendering from Mutopia edition,Wikimedia Commons / source credited on file page,"https://commons.wikimedia.org/wiki/File:The_Art_of_Fugue,_Contrapunctus_I.ogg",PDM 1.0,Evidence file: tt048_rights_source.png,audio/TT048.mp3,0,20,The Commons file is identified as free of known copyright restrictions and marked PDM 1.0; retain its Mutopia provenance.
TT049,"Cello Suite No. 1 in G major, BWV 1007, I. Prelude",J. S. Bach,"John Michel, cello",Wikimedia Commons,https://commons.wikimedia.org/wiki/File:JOHN_MICHEL_CELLO-J_S_BACH_CELLO_SUITE_1_in_G_Prelude.ogg,CC BY-SA 3.0,Rights evidence required before commercial release,audio/TT049.mp3,8,11,Credit John Michel; link CC BY-SA 3.0; state that the audio was edited; distribute the adapted clip under compatible share-alike terms.
TT050,"Symphony No. 3 in E-flat major, Op. 55 ‘Eroica’, I. Allegro con brio",L. van Beethoven,Musopen Symphony Orchestra,Musopen Collection hosted by Internet Archive,https://archive.org/details/MusopenCollectionAsFlac,Public Domain Mark 1.0 / Musopen public-domain recording collection,Rights evidence required before commercial release,audio/TT050.mp3,8,11,"Recording supplied through the Musopen Collection hosted by Internet Archive and marked Public Domain Mark 1.0. Commercial use is permitted. Retain the exact item page, direct audio URL and recording-specific evidence screenshot in the EchoAural rights record."
TT051,"The Well-Tempered Clavier, Book I: Fugue No. 1 in C major, BWV 846",J. S. Bach,Kimiko Ishizaka,Open Well-Tempered Clavier / Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Kimiko_Ishizaka_-_Bach_-_Well-Tempered_Clavier,_Book_1_-_02_Fugue_No._1_in_C_major,_BWV_846.ogg",CC0 1.0,Rights evidence required before commercial release,audio/TT051.mp3,28,11,Recording performed by Kimiko Ishizaka and released under CC0 1.0 through the Open Well-Tempered Clavier project. Credit is still recommended in EchoAural's source record.
TT052,"Cello Suite No. 1 in G major, BWV 1007, II. Allemande",J. S. Bach,"John Michel, cello",Wikimedia Commons,https://commons.wikimedia.org/wiki/File:JOHN_MICHEL_CELLO-J_S_BACH_CELLO_SUITE_1_in_G_Allemande.ogg,CC BY-SA 3.0,Rights evidence required before commercial release,audio/TT052.mp3,18,11,Credit John Michel; link CC BY-SA 3.0; state that the audio was edited; distribute the adapted clip under compatible share-alike terms.
TT053,"Symphony No. 3 in E-flat major, Op. 55 ‘Eroica’, II. Marcia funebre",L. van Beethoven,Musopen Symphony Orchestra,Musopen Collection hosted by Internet Archive,https://archive.org/details/MusopenCollectionAsFlac,Public Domain Mark 1.0 / Musopen public-domain recording collection,Rights evidence required before commercial release,audio/TT053.mp3,0,11,"Recording supplied through the Musopen Collection hosted by Internet Archive and marked Public Domain Mark 1.0. Commercial use is permitted. Retain the exact item page, direct audio URL and recording-specific evidence screenshot in the EchoAural rights record."
TT054,"Symphony No. 3 in E-flat major, Op. 55 ‘Eroica’, IV. Finale",L. van Beethoven,Musopen Symphony Orchestra,Musopen Collection hosted by Internet Archive,https://archive.org/details/MusopenCollectionAsFlac,Public Domain Mark 1.0 / Musopen public-domain recording collection,Rights evidence required before commercial release,audio/TT054.mp3,82,11,"Recording supplied through the Musopen Collection hosted by Internet Archive and marked Public Domain Mark 1.0. Commercial use is permitted. Retain the exact item page, direct audio URL and recording-specific evidence screenshot in the EchoAural rights record."
TT055,"Cello Suite No. 1 in G major, BWV 1007, III. Courante",J. S. Bach,"John Michel, cello",Wikimedia Commons,https://commons.wikimedia.org/wiki/File:JOHN_MICHEL_CELLO-J_S_BACH_CELLO_SUITE_1_in_G_Courante.ogg,CC BY-SA 3.0,Rights evidence required before commercial release,audio/TT055.mp3,12,11,Credit John Michel; link CC BY-SA 3.0; state that the audio was edited; distribute the adapted clip under compatible share-alike terms.
TT056,"Symphony No. 3 in E-flat major, Op. 55 ‘Eroica’, III. Scherzo",L. van Beethoven,Musopen Symphony Orchestra,Musopen Collection hosted by Internet Archive,https://archive.org/details/MusopenCollectionAsFlac,Public Domain Mark 1.0 / Musopen public-domain recording collection,Rights evidence required before commercial release,audio/TT056.mp3,12,11,"Recording supplied through the Musopen Collection hosted by Internet Archive and marked Public Domain Mark 1.0. Commercial use is permitted. Retain the exact item page, direct audio URL and recording-specific evidence screenshot in the EchoAural rights record."
TT057,"Symphony No. 4 in E minor, Op. 98, IV. Allegro energico e passionato",Johannes Brahms,Musopen Symphony Orchestra,Musopen Collection hosted by Internet Archive,https://archive.org/details/MusopenCollectionAsFlac,Public Domain Mark 1.0 / Musopen public-domain recording collection,Rights evidence required before commercial release,audio/TT057.mp3,18,11,"Recording supplied through the Musopen Collection hosted by Internet Archive and marked Public Domain Mark 1.0. Commercial use is permitted. Retain the exact item page, direct audio URL and recording-specific evidence screenshot in the EchoAural rights record."
TT058,"Cello Suite No. 1 in G major, BWV 1007, IV. Sarabande",J. S. Bach,"John Michel, cello",Wikimedia Commons,https://commons.wikimedia.org/wiki/File:JOHN_MICHEL_CELLO-J_S_BACH_CELLO_SUITE_1_in_G_Sarabande.ogg,CC BY-SA 3.0,Rights evidence required before commercial release,audio/TT058.mp3,22,11,Credit John Michel; link CC BY-SA 3.0; state that the audio was edited; distribute the adapted clip under compatible share-alike terms.
TT059,"Symphony No. 4 in E minor, Op. 98, I. Allegro non troppo",Johannes Brahms,Musopen Symphony Orchestra,Musopen Collection hosted by Internet Archive,https://archive.org/details/MusopenCollectionAsFlac,Public Domain Mark 1.0 / Musopen public-domain recording collection,Rights evidence required before commercial release,audio/TT059.mp3,0,11,"Recording supplied through the Musopen Collection hosted by Internet Archive and marked Public Domain Mark 1.0. Commercial use is permitted. Retain the exact item page, direct audio URL and recording-specific evidence screenshot in the EchoAural rights record."
TT061,"Symphony No. 4 in E minor, Op. 98, III. Allegro giocoso",Johannes Brahms,Musopen Symphony Orchestra,Musopen Collection hosted by Internet Archive,https://archive.org/details/MusopenCollectionAsFlac,Public Domain Mark 1.0 / Musopen public-domain recording collection,Rights evidence required before commercial release,audio/TT061.mp3,0,11,"Recording supplied through the Musopen Collection hosted by Internet Archive and marked Public Domain Mark 1.0. Commercial use is permitted. Retain the exact item page, direct audio URL and recording-specific evidence screenshot in the EchoAural rights record."
TT062,"Cello Suite No. 1 in G major, BWV 1007, V. Minuets",J. S. Bach,"John Michel, cello",Wikimedia Commons,https://commons.wikimedia.org/wiki/File:JOHN_MICHEL_CELLO-J_S_BACH_CELLO_SUITE_1_in_G_Minuets.ogg,CC BY-SA 3.0,Rights evidence required before commercial release,audio/TT062.mp3,15,11,Credit John Michel; link CC BY-SA 3.0; state that the audio was edited; distribute the adapted clip under compatible share-alike terms.
TT063,"String Quartet No. 12 in F major, Op. 96 ‘American’, I. Allegro ma non troppo",Antonín Dvořák,Musopen String Quartet,Musopen Collection hosted by Internet Archive,https://archive.org/details/MusopenCollectionAsFlac,Public Domain Mark 1.0 / Musopen public-domain recording collection,Rights evidence required before commercial release,audio/TT063.mp3,0,11,"Recording supplied through the Musopen Collection hosted by Internet Archive and marked Public Domain Mark 1.0. Commercial use is permitted. Retain the exact item page, direct audio URL and recording-specific evidence screenshot in the EchoAural rights record."
TT064,"The Well-Tempered Clavier, Book I: Fugue No. 2 in C minor, BWV 847",J. S. Bach,Kimiko Ishizaka,Open Well-Tempered Clavier / Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Kimiko_Ishizaka_-_Bach_-_Well-Tempered_Clavier,_Book_1_-_04_Fugue_No._2_in_C_minor,_BWV_847.ogg",CC0 1.0,Rights evidence required before commercial release,audio/TT064.mp3,24,11,Recording performed by Kimiko Ishizaka and released under CC0 1.0 through the Open Well-Tempered Clavier project. Credit is still recommended in EchoAural's source record.
TT065,"Cello Suite No. 1 in G major, BWV 1007, VI. Gigue",J. S. Bach,"John Michel, cello",Wikimedia Commons,https://commons.wikimedia.org/wiki/File:JOHN_MICHEL_CELLO-J_S_BACH_CELLO_SUITE_1_in_G_Gigue.ogg,CC BY-SA 3.0,Rights evidence required before commercial release,audio/TT065.mp3,10,11,Credit John Michel; link CC BY-SA 3.0; state that the audio was edited; distribute the adapted clip under compatible share-alike terms.
TT066,"String Quartet No. 12 in F major, Op. 96 ‘American’, II. Lento",Antonín Dvořák,Musopen String Quartet,Musopen Collection hosted by Internet Archive,https://archive.org/details/MusopenCollectionAsFlac,Public Domain Mark 1.0 / Musopen public-domain recording collection,Rights evidence required before commercial release,audio/TT066.mp3,0,11,"Recording supplied through the Musopen Collection hosted by Internet Archive and marked Public Domain Mark 1.0. Commercial use is permitted. Retain the exact item page, direct audio URL and recording-specific evidence screenshot in the EchoAural rights record."
TT067,"String Quartet No. 12 in F major, Op. 96 ‘American’, III. Molto vivace",Antonín Dvořák,Musopen String Quartet,Musopen Collection hosted by Internet Archive,https://archive.org/details/MusopenCollectionAsFlac,Public Domain Mark 1.0 / Musopen public-domain recording collection,Rights evidence required before commercial release,audio/TT067.mp3,35,11,"Recording supplied through the Musopen Collection hosted by Internet Archive and marked Public Domain Mark 1.0. Commercial use is permitted. Retain the exact item page, direct audio URL and recording-specific evidence screenshot in the EchoAural rights record."
TT068,"Partita in A minor for solo flute, BWV 1013, I. Allemande",J. S. Bach,"Scott Goff, flute",Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Bach_-_Partita_For_Solo_Flute_-_Modern_Flute_-_1._Allemande.ogg,CC BY-SA 2.0 / EFF Open Audio-compatible,Rights evidence required before commercial release,audio/TT068.mp3,14,11,Credit Scott Goff and the Al Goldstein/Pandora Music source; link CC BY-SA 2.0; state that the audio was edited.
TT069,"String Quartet No. 12 in F major, Op. 96 ‘American’, IV. Finale",Antonín Dvořák,Musopen String Quartet,Musopen Collection hosted by Internet Archive,https://archive.org/details/MusopenCollectionAsFlac,Public Domain Mark 1.0 / Musopen public-domain recording collection,Rights evidence required before commercial release,audio/TT069.mp3,0,11,"Recording supplied through the Musopen Collection hosted by Internet Archive and marked Public Domain Mark 1.0. Commercial use is permitted. Retain the exact item page, direct audio URL and recording-specific evidence screenshot in the EchoAural rights record."
TT070,"String Quartet in D major, Hob.III:63, Op.64 No.5 ‘The Lark’, IV. Finale",Joseph Haydn,Musopen String Quartet,Musopen Collection hosted by Internet Archive,https://archive.org/details/MusopenCollectionAsFlac,Public Domain Mark 1.0 / Musopen public-domain recording collection,Rights evidence required before commercial release,audio/TT070.mp3,20,11,"Recording supplied through the Musopen Collection hosted by Internet Archive and marked Public Domain Mark 1.0. Commercial use is permitted. Retain the exact item page, direct audio URL and recording-specific evidence screenshot in the EchoAural rights record."
